"cat1","name","lost","desc","ticker","date","www"
"Exchange","Mintpal",3984,"Mintpal Exchange 3,894 BTC","BTC",12/01/14,"https://www.tokens-economy.com/timeline/mintpal-exchange-3894-btc/"
"Exchange","Cryptsy",13000,"Cryptsy exchange 13,000 BTC / 300,000 LTC","BTC",07/29/14,"https://www.tokens-economy.com/timeline/cryptsy-exchange-13000-btc-300000-ltc/"
"Exchange","Cryptsy",300000,"Cryptsy exchange 13,000 BTC / 300,000 LTC","LTC",07/29/14,"https://www.tokens-economy.com/timeline/cryptsy-exchange-13000-btc-300000-ltc/"
"Exchange","Silk Road ",171955,"Silk Road 171,955 BTC","BTC",10/01/13,"https://www.tokens-economy.com/timeline/silk-road-171955-btc/"
"Hacks","Parity",153037,"Parity Wallet $30 million / 153,037 ETH","ETH",,"https://www.tokens-economy.com/timeline/parity-wallet-30m-153037-eth/"
"Hacks","Parity",30000000,"Parity Wallet $30 million / 153,037 ETH","$",,"https://www.tokens-economy.com/timeline/parity-wallet-30m-153037-eth/"
"Exchange","Bitcoinica",46703,"Bitcoinica 46,703 BTC","BTC",03/01/12,"https://www.tokens-economy.com/timeline/bitcoinica-46703-btc-18547-btc/"
"Hacks","NiceHash",4700,"NiceHash Hack $80 million / 4700 BTC","BTC",12/06/17,"https://www.tokens-economy.com/timeline/nicehash-hack-80-4700-btc/"
"Hacks","NiceHash",80000000,"NiceHash Hack $80 million / 4700 BTC","$",12/06/17,"https://www.tokens-economy.com/timeline/nicehash-hack-80-4700-btc/"
"Hacks","Parity",513774.16,"The Parity Multi-Sig Frozen Funds $150 million / 513,774.16 ETH","ETH",11/07/17,"https://www.tokens-economy.com/timeline/the-parity-multi-sig-frozen-funds-150-m/"
"Exchange","Bitfinex",120000,"The Bitfinex Hack: $72 million or 120,000 BTC. Bitfinex is a cryptocurrency trading platform, owned and operated by iFinex Inc. which is headquartered in Hong Kong and registered in the British Virgin Islands. In 2015 the exchange's customers were hacked, losing about $400,000, and in 2016 about $73 million more was stolen from its customers' accounts.","BTC",08/02/16,"https://www.tokens-economy.com/timeline/the-bitfinex-hack-72m-or-120000-btc/"
"Exchange","Bitfinex",72000000,"The Bitfinex Hack: $72 million or 120,000 BTC. Bitfinex is a cryptocurrency trading platform, owned and operated by iFinex Inc. which is headquartered in Hong Kong and registered in the British Virgin Islands. In 2015 the exchange's customers were hacked, losing about $400,000, and in 2016 about $73 million more was stolen from its customers' accounts.","$",08/02/16,"https://www.tokens-economy.com/timeline/the-bitfinex-hack-72m-or-120000-btc/"
"Hacks","DAO",12700000,"The DAO Hack: $50 million or 12.7M ETH","ETH",06/17/16,"https://www.tokens-economy.com/timeline/the-dao-hack-50m/"
"Exchange","Mt Gox",850000,"THE MT.GOX HACK: $473 million / 850,000 BTC. Mt. Gox was a bitcoin exchange based in Shibuya, Tokyo, Japan. Launched in July 2010, by 2013 and into 2014 it was handling over 70% of all bitcoin transactions worldwide, as the largest bitcoin intermediary and the world's leading bitcoin exchange. ","BTC",02/07/14,"https://www.tokens-economy.com/timeline/the-mt-gox-hack-473m/"
