name,coinName,symbol,proofType,url,algorithm,summary,lifespan,founder,durl
IPN.CUR,Ipsen,IPN.CUR,N/A,/coins/ipncur/overview,N/A,,,,,
SONG,Song Coin,SONG,PoW,/coins/song/overview,Scrypt,,,,,
ERB,ERBCoin,ERB,N/A,/coins/erb/overview,Scrypt,,,,,
ERA,ETHA,ERA,N/A,/coins/era/overview,N/A,,,,,
VST,Vostok,VST,N/A,/coins/vst/overview,N/A,,,,,
ERD,Elrond,ERD,N/A,/coins/erd/overview,N/A,,,,,
ERC,EuropeCoin,ERC,PoW/PoS,/coins/erc/overview,X11,,,,,
IMPCH,Impeach,IMPCH,PoW/PoS,/coins/impch/overview,Scrypt,,,,,
ERE,Erecoin,ERE,N/A,/coins/ere/overview,N/A,,,,,
VSX,Vsync,VSX,PoW/PoS,/coins/vsx/overview,X13,,,,,
NCP,Newton Coin,NCP,PoW,/coins/ncp/overview,CryptoNight,,,,,
ERG,Ergo,ERG,PoW,/coins/erg/overview,Autolykos,,,,,
NCR,NCrypto,NCR,N/A,/coins/ncr/overview,N/A,,,,,
NCT,PolySwarm,NCT,N/A,/coins/nct/overview,N/A,,,,,
IMPCN,Brain Space,IMPCN,N/A,/coins/impcn/overview,N/A,,,,,
ERK,Eureka Coin,ERK,N/A,/coins/erk/overview,SHA-256,,,,,
VTA,VirtaCoin,VTA,PoW,/coins/vta/overview,Scrypt,,,,,
ERO,Eroscoin,ERO,N/A,/coins/ero/overview,N/A,,,,,
ERR,ErrorCoin,ERR,PoW,/coins/err/overview,Scrypt,,,,,
VTC,Vertcoin,VTC,PoW,/coins/vtc/overview,Lyra2REv2,,,,,
ERT,Esports.com,ERT,N/A,/coins/ert/overview,N/A,,,,,
XENO,Xenoverse,XENO,N/A,/coins/xeno/overview,N/A,,,,,
ENTER,EnterCoin,ENTER,N/A,/coins/enter/overview,N/A,,,,,
NDC,NeverDie,NDC,N/A,/coins/ndc/overview,N/A,,,,,
WSLT,White Stripe Lottery,WSLT,N/A,/coins/wslt/overview,N/A,,,,,
ERY,Eryllium,ERY,PoW/PoS,/coins/ery/overview,X11,,,,,
VTM,Victorieum,VTM,N/A,/coins/vtm/overview,N/A,,,,,
VTL,Vertical,VTL,PoW,/coins/vtl/overview,Lyra2Z,,,,,
TRTL,TurtleCoin,TRTL,PoW,/coins/trtl/overview,CryptoNight,,,,,
VTN,Voltroon,VTN,N/A,/coins/vtn/overview,N/A,,,,,
TRTK,TrollTokens,TRTK,PoW/PoS,/coins/trtk/overview,SHA-256,,,,,
VTR,Vtorrent,VTR,PoW/PoS,/coins/vtr/overview,Scrypt,,,,,
TRTT,Trittium,TRTT,N/A,/coins/trtt/overview,N/A,,,,,
NDN,NDN Link,NDN,N/A,/coins/ndn/overview,N/A,,,,,
VTY,Victoriouscoin,VTY,PoW/PoS,/coins/vty/overview,Scrypt,,,,,
VTX,Vertex,VTX,PoW/PoS,/coins/vtx/overview,SHA-256,,,,,
ESH,Switch,ESH,N/A,/coins/esh/overview,N/A,,,,,
ESN,Ethersocial,ESN,N/A,/coins/esn/overview,N/A,,,,,
ESP,Espers,ESP,PoW/PoS,/coins/esp/overview,536,,,,,
ET4,Eticket4,ET4,N/A,/coins/et4/overview,N/A,,,,,
ESS,Essentia,ESS,N/A,/coins/ess/overview,N/A,,,,,
VUC,Virta Unique Coin,VUC,PoW/PoS,/coins/vuc/overview,NIST5,,,,,
EST,ESports Chain,EST,PoC,/coins/est/overview,N/A,,,,,
ESW,eSwitch®,ESW,N/A,/coins/esw/overview,N/A,,,,,
CHSB,SwissBorg,CHSB,N/A,/coins/chsb/overview,N/A,,,,,
NEC,Ethfinex Nectar Token,NEC,N/A,/coins/nec/overview,N/A,,,,,
ESZ,EtherSportz,ESZ,N/A,/coins/esz/overview,N/A,,,,,
NEF,NefariousCoin,NEF,PoW/PoS,/coins/nef/overview,Scrypt,,,,,
ETC,Ethereum Classic,ETC,PoW,/coins/etc/overview,Ethash,,,,,
ETF,EthereumFog,ETF,PoW,/coins/etf/overview,Ethash,,,,,
ETE,EXTRADECOIN,ETE,N/A,/coins/ete/overview,N/A,,,,,
TRST,TrustCoin,TRST,N/A,/coins/trst/overview,N/A,,,,,
ETH,Ethereum,ETH,PoW,/coins/eth/overview,Ethash,,,,,
ETG,Ethereum Gold,ETG,N/A,/coins/etg/overview,N/A,,,,,
NEO,NEO,NEO,N/A,/coins/neo/overview,N/A,,,,,
ETI,EtherInc,ETI,N/A,/coins/eti/overview,N/A,,,,,
MENU,MenuBuzz,MENU,N/A,/coins/menu/overview,N/A,,,,,
NET,NetCoin,NET,PoW,/coins/net/overview,Scrypt,,,,,
ETL,EtherLite,ETL,N/A,/coins/etl/overview,N/A,,,,,
ETK,Energi Token,ETK,N/A,/coins/etk/overview,N/A,,,,,
ETN,Electroneum,ETN,PoW,/coins/etn/overview,N/A,,,,,
NEU,Neumark,NEU,N/A,/coins/neu/overview,N/A,,,,,
ETM,En-Tan-Mo,ETM,N/A,/coins/etm/overview,N/A,,,,,
NEX,Nash Exchange,NEX,N/A,/coins/nex/overview,N/A,,,,,
ETP,Metaverse,ETP,N/A,/coins/etp/overview,Ethash,,,,,
NEW,Newton,NEW,N/A,/coins/new/overview,N/A,,,,,
ETR,Electric Token,ETR,N/A,/coins/etr/overview,N/A,,,,,
ETT,EncryptoTel,ETT,N/A,/coins/ett/overview,N/A,,,,,
ETS,ETH Share,ETS,N/A,/coins/ets/overview,N/A,,,,,
VVI,VV Coin,VVI,N/A,/coins/vvi/overview,N/A,,,,,
SPEND,Spend,SPEND,N/A,/coins/spend/overview,N/A,,,,,
ETZ,EtherZero,ETZ,PoW,/coins/etz/overview,Ethash,,,,,
ETY,Ethereum Cloud,ETY,N/A,/coins/ety/overview,N/A,,,,,
TRVC,Trivechain,TRVC,PoW/PoS,/coins/trvc/overview,X16R,,,,,
EUC,Eurocoin,EUC,PoW/PoS,/coins/euc/overview,SHA-256,,,,,
SXDT,SPECTRE Dividend Token,SXDT,N/A,/coins/sxdt/overview,N/A,,,,,
TRVL,Travel Coin,TRVL,N/A,/coins/trvl/overview,N/A,,,,,
NFN,Nafen,NFN,N/A,/coins/nfn/overview,N/A,,,,,
FIND,FindCoin,FIND,PoS,/coins/find/overview,X13,,,,,
SWAPS,SWAPS Network,SWAPS,N/A,/coins/swaps/overview,N/A,,,,,
EUM,Elitium,EUM,N/A,/coins/eum/overview,N/A,,,,,
TAUC,Taurus Coin,TAUC,N/A,/coins/tauc/overview,N/A,,,,,
WRLGC,World Gold Coin,WRLGC,PoW,/coins/wrlgc/overview,SHA-256,,,,,
TRVR,Trivver,TRVR,N/A,/coins/trvr/overview,N/A,,,,,
BERN,BERNcash,BERN,PoW/PoS,/coins/bern/overview,X14,,,,,
SGAT,SGAT,SGAT,N/A,/coins/sgat/overview,N/A,,,,,
FILL,Fillit,FILL,N/A,/coins/fill/overview,N/A,,,,,
FILM,Filmpass,FILM,N/A,/coins/film/overview,N/A,,,,,
TASH,Smart Trip Platform,TASH,N/A,/coins/tash/overview,N/A,,,,,
GLOS,GLOS,GLOS,N/A,/coins/glos/overview,N/A,,,,,
TRUE,True Chain,TRUE,fPoW+ PBFT,/coins/true/overview,N/A,,,,,
NGC,NagaCoin,NGC,N/A,/coins/ngc/overview,N/A,,,,,
EVC,Eventchain,EVC,N/A,/coins/evc/overview,N/A,,,,,
EVE,Devery,EVE,N/A,/coins/eve/overview,N/A,,,,,
EVN,Envion,EVN,N/A,/coins/evn/overview,N/A,,,,,
GUAR,Guarium,GUAR,N/A,/coins/guar/overview,N/A,,,,,
EVR,Everus,EVR,N/A,/coins/evr/overview,N/A,,,,,
EVT,EveriToken,EVT,N/A,/coins/evt/overview,N/A,,,,,
EVX,Everex,EVX,N/A,/coins/evx/overview,N/A,,,,,
ZCHN,Zichain,ZCHN,N/A,/coins/zchn/overview,N/A,,,,,
PPOVR,POVR,PPOVR,N/A,/coins/ppovr/overview,N/A,,,,,
MESG,MESG,MESG,N/A,/coins/mesg/overview,N/A,,,,,
EVY,EveryCoin,EVY,N/A,/coins/evy/overview,N/A,,,,,
MESH,MeshBox,MESH,N/A,/coins/mesh/overview,N/A,,,,,
EUCOIN,EU Coin,EUCOIN,N/A,/coins/eucoin/overview,N/A,,,,,
ASQT,ASQ Protocol,ASQT,N/A,/coins/asqt/overview,N/A,,,,,
SGDX,eToro Singapore Dollar,SGDX,N/A,/coins/sgdx/overview,N/A,,,,,
FRAC,FractalCoin,FRAC,PoW,/coins/frac/overview,X11,,,,,
SOUL,SoulCoin,SOUL,PoW/PoS,/coins/soul/overview,Scrypt,,,,,
ISIKC,Isiklar Coin,ISIKC,N/A,/coins/isikc/overview,N/A,,,,,
SWARM,SwarmCoin,SWARM,N/A,/coins/swarm/overview,N/A,,,,,
EWT,Energy Web Token,EWT,N/A,/coins/ewt/overview,N/A,,,,,
HOTT,HOT Token,HOTT,N/A,/coins/hott/overview,N/A,,,,,
NIC,NewInvestCoin,NIC,PoS,/coins/nic/overview,PoS,,,,,
MERI,Merebel,MERI,N/A,/coins/meri/overview,N/A,,,,,
LOCUS,Locus Chain,LOCUS,N/A,/coins/locus/overview,N/A,,,,,
EXB,ExaByte (EXB),EXB,PoW,/coins/exb/overview,SHA-256,,,,,
NII,nahmii,NII,N/A,/coins/nii/overview,N/A,,,,,
SCOOBY,Scooby coin,SCOOBY,PoW/PoS,/coins/scooby/overview,Scrypt,,,,,
EXC,Eximchain,EXC,N/A,/coins/exc/overview,N/A,,,,,
EXE,ExeCoin,EXE,PoW,/coins/exe/overview,Scrypt,,,,,
NIM,Nimiq,NIM,PoW,/coins/nim/overview,N/A,,,,,
INSTAR,Insights Network,INSTAR,N/A,/coins/instar/overview,N/A,,,,,
BYND.CUR,Beyond Meat, Inc.,BYND.CUR,N/A,/coins/byndcur/overview,N/A,,,,,
EXN,ExchangeN,EXN,N/A,/coins/exn/overview,N/A,,,,,
BEST,BEST,BEST,N/A,/coins/best/overview,N/A,,,,,
EXM,EXMO Coin,EXM,N/A,/coins/exm/overview,N/A,,,,,
RUBY,Rubius,RUBY,N/A,/coins/ruby/overview,N/A,,,,,
NIX,NIX,NIX,PoW,/coins/nix/overview,Lyra2REv2,,,,,
EXP,Expanse,EXP,PoW,/coins/exp/overview,Ethash,,,,,
EXO,Exosis,EXO,PoW,/coins/exo/overview,Exosis,,,,,
RUBX,eToro Russian Ruble,RUBX,N/A,/coins/rubx/overview,N/A,,,,,
PWON,Personal Wager,PWON,N/A,/coins/pwon/overview,N/A,,,,,
EXY,Experty,EXY,N/A,/coins/exy/overview,N/A,,,,,
ASST,AssetStream,ASST,N/A,/coins/asst/overview,N/A,,,,,
EYE,EYE Token,EYE,N/A,/coins/eye/overview,N/A,,,,,
VZT,Vezt,VZT,PoW,/coins/vzt/overview,N/A,,,,,
FIRE,FireCoin,FIRE,PoW/PoS,/coins/fire/overview,X15,,,,,
FABA,Faba Invest,FABA,N/A,/coins/faba/overview,N/A,,,,,
BETT,Bettium,BETT,N/A,/coins/bett/overview,N/A,,,,,
BNBBEAR,3X Short BNB Token,BNBBEAR,N/A,/coins/bnbbear/overview,N/A,,,,,
BETR,BetterBetting,BETR,N/A,/coins/betr/overview,N/A,,,,,
TRYB,BiLira,TRYB,N/A,/coins/tryb/overview,N/A,,,,,
META,Metadium,META,N/A,/coins/meta/overview,N/A,,,,,
OKOIN,OKOIN,OKOIN,N/A,/coins/okoin/overview,N/A,,,,,
FRAZ,FrazCoin,FRAZ,PoW,/coins/fraz/overview,Scrypt,,,,,
NKA,IncaKoin,NKA,PoW/PoS,/coins/nka/overview,SHA-256,,,,,
NKC,Nukecoinz,NKC,PoW,/coins/nkc/overview,Scrypt,,,,,
SOVE,Soverain,SOVE,PoS,/coins/sove/overview,N/A,,,,,
ASTR,Astral,ASTR,PoW/PoS,/coins/astr/overview,X13,,,,,
EZC,EZCoin,EZC,PoW,/coins/ezc/overview,Scrypt,,,,,
NKN,NKN,NKN,PoR,/coins/nkn/overview,N/A,,,,,
ASTO,Aston,ASTO,N/A,/coins/asto/overview,N/A,,,,,
METM,MetaMorph,METM,N/A,/coins/metm/overview,N/A,,,,,
NKT,NakomotoDark,NKT,PoW/PoS,/coins/nkt/overview,X11,,,,,
EZM,EZMarket,EZM,N/A,/coins/ezm/overview,N/A,,,,,
TRYX,eToro Turkish Lira,TRYX,N/A,/coins/tryx/overview,N/A,,,,,
EZT,EZToken,EZT,N/A,/coins/ezt/overview,N/A,,,,,
VPRC,VapersCoin,VPRC,PoW,/coins/vprc/overview,Scrypt,,,,,
NLC,NoLimitCoin,NLC,PoW/PoS,/coins/nlc/overview,SHA-256D,,,,,
FIST,FistBump,FIST,PoW/PoS,/coins/fist/overview,X13,,,,,
LBTC,LiteBitcoin,LBTC,PoW,/coins/lbtc/overview,Scrypt,,,,,
NLG,Gulden,NLG,PoW,/coins/nlg/overview,Scrypt,,,,,
FRED,FREDEnergy,FRED,PoW,/coins/fred/overview,CryptoNight,,,,,
FREC,Freyrchain,FREC,N/A,/coins/frec/overview,N/A,,,,,
FREE,FREE coin,FREE,N/A,/coins/free/overview,N/A,,,,,
SENNO,SENNO,SENNO,N/A,/coins/senno/overview,N/A,,,,,
WBTC,Wrapped Bitcoin,WBTC,N/A,/coins/wbtc/overview,N/A,,,,,
RIPAX,RipaEx,RIPAX,N/A,/coins/ripax/overview,N/A,,,,,
NLX,Nullex,NLX,PoS,/coins/nlx/overview,N/A,,,,,
BSTAR,Blackstar,BSTAR,PoS,/coins/bstar/overview,X11,,,,,
NMB,Nimbus Coin,NMB,PoW/PoS,/coins/nmb/overview,X15,,,,,
NYZO,Nyzo,NYZO,N/A,/coins/nyzo/overview,N/A,,,,,
RUFF,Ruff,RUFF,N/A,/coins/ruff/overview,N/A,,,,,
NMC,Namecoin,NMC,PoW,/coins/nmc/overview,SHA-256,,,,,
BAM,BAM,BamitCoin,PoW/PoS,/coins/bam/overview,X11,,,,,
NMH,Namahe,NMH,N/A,/coins/nmh/overview,N/A,,,,,
NMK,Namek,NMK,N/A,/coins/nmk/overview,N/A,,,,,
MEETONE,MEET.ONE,MEETONE,N/A,/coins/meetone/overview,N/A,,,,,
NMR,Numeraire,NMR,N/A,/coins/nmr/overview,N/A,,,,,
NMT,Nova Mining,NMT,N/A,/coins/nmt/overview,N/A,,,,,
NMS,Numus,NMS,PoW/PoS,/coins/nms/overview,Skein,,,,,
STEEMD,Steem Backed Dollars,STEEMD,N/A,/coins/steemd/overview,DPoS,,,,,
FACE,Faceter,FACE,N/A,/coins/face/overview,N/A,,,,,
BRYLL,Bryllite,BRYLL,N/A,/coins/bryll/overview,N/A,,,,,
NNC,NEO Name Credit,NNC,N/A,/coins/nnc/overview,N/A,,,,,
NNB,NNB Token,NNB,N/A,/coins/nnb/overview,N/A,,,,,
CCOIN,Creditcoin,CCOIN,N/A,/coins/ccoin/overview,N/A,,,,,
AVALA,Travala,AVALA,N/A,/coins/avala/overview,N/A,,,,,
BITRUE,Bitrue Coin,BITRUE,N/A,/coins/bitrue/overview,N/A,,,,,
MEXC,MEXC Token,MEXC,N/A,/coins/mexc/overview,N/A,,,,,
NOM,Finom NOM Token,NOM,N/A,/coins/nom/overview,N/A,,,,,
NOO,Noocoin,NOO,PoS,/coins/noo/overview,PoS,,,,,
NOR,Noir,NOR,PoS,/coins/nor/overview,N/A,,,,,
NOS,nOS,NOS,N/A,/coins/nos/overview,N/A,,,,,
NOX,NITRO,NOX,N/A,/coins/nox/overview,N/A,,,,,
NOW,NOW Token,NOW,N/A,/coins/now/overview,N/A,,,,,
WAB,WABnetwork,WAB,N/A,/coins/wab/overview,N/A,,,,,
POCC,POC Chain,POCC,N/A,/coins/pocc/overview,N/A,,,,,
CLICK,Clickcoin,CLICK,PoS,/coins/click/overview,PoS,,,,,
CHEESE (1),CHEESE,CHEESE,PoW/PoS,/coins/cheese/overview,N/A,,,,,
STRAT,Stratis,STRAT,PoW/PoS,/coins/strat/overview,X13,,,,,
NPC,NPCcoin,NPC,PoW/PoS,/coins/npc/overview,SHA-256D,,,,,
SHORTY,ShortyCoin,SHORTY,PoS,/coins/shorty/overview,PoS,,,,,
LBXC,LUX BIO EXCHANGE COIN,LBXC,N/A,/coins/lbxc/overview,N/A,,,,,
INSUR,InsurChain Coin,INSUR,N/A,/coins/insur/overview,N/A,,,,,
WAN,Wanchain,WAN,PoS,/coins/wan/overview,N/A,,,,,
STACS,STACS Token,STACS,N/A,/coins/stacs/overview,N/A,,,,,
WAY,WayCoin,WAY,PoS,/coins/way/overview,X11,,,,,
ABXC,AutoBay,ABXC,N/A,/coins/abxc/overview,N/A,,,,,
WBB,Wild Beast Coin,WBB,PoW,/coins/wbb/overview,Scrypt,,,,,
NPX,Napoleon X,NPX,N/A,/coins/npx/overview,N/A,,,,,
DTRC,Datarius,DTRC,N/A,/coins/dtrc/overview,N/A,,,,,
DCS,deCLOUDs,DCS.,PoS,/coins/dcs/overview,N/A,,,,,
FAB,FABRK Token,FAB,N/A,/coins/fab/overview,N/A,,,,,
DCRE,DeltaCredits,DCRE,PoS,/coins/dcre/overview,N/A,,,,,
WBY,WeBuy,WBY,N/A,/coins/wby/overview,N/A,,,,,
FAN,Fan360,FAN,N/A,/coins/fan/overview,N/A,,,,,
WCC,Wincash Coin,WCC,PoW/PoS,/coins/wcc/overview,SHA-256,,,,,
FAT,Fatcoin,FAT,N/A,/coins/fat/overview,N/A,,,,,
ALTBULL,3X Long Altcoin Index Token,ALTBULL,N/A,/coins/altbull/overview,N/A,,,,,
WCG,World Crypto Gold,WCG,PoS,/coins/wcg/overview,SHA-256,,,,,
NRC,Neurocoin,NRC,PoS,/coins/nrc/overview,PoS,,,,,
NRB,NoirBits,NRB,PoW,/coins/nrb/overview,SHA-256,,,,,
TAURI,Extauri,TAURI,N/A,/coins/tauri/overview,N/A,,,,,
NRG,Energi,NRG,PoS,/coins/nrg/overview,N/A,,,,,
EDEXA,edeXa Security Token,EDEXA,N/A,/coins/edexa/overview,N/A,,,,,
FAIR,FairCoin,FAIR,PoW/PoS,/coins/fair/overview,Groestl,,,,,
LUNES,Lunes,LUNES,PoS/LPoS,/coins/lunes/overview,Leased POS,,,,,
LIBRA,Facebook Libra,LIBRA,N/A,/coins/libra/overview,N/A,,,,,
FBB,FilmBusinessBuster,FBB,N/A,/coins/fbb/overview,N/A,,,,,
NRM,Neuromachine,NRM,N/A,/coins/nrm/overview,N/A,,,,,
WCT,Waves Community Token,WCT,N/A,/coins/wct/overview,N/A,,,,,
NRO,Neuro,NRO,PoW/PoS,/coins/nro/overview,SHA-256,,,,,
NRN,Doc.ai Neuron,NRN,N/A,/coins/nrn/overview,N/A,,,,,
NRP,Neural Protocol,NRP,N/A,/coins/nrp/overview,N/A,,,,,
NRS,NoirShares,NRS,PoW/PoS,/coins/nrs/overview,Scrypt,,,,,
GUNS,GeoFunders,GUNS,N/A,/coins/guns/overview,N/A,,,,,
FBN,Five balance,FBN,N/A,/coins/fbn/overview,N/A,,,,,
NRV,NERVE,NRV,N/A,/coins/nrv/overview,N/A,,,,,
FC2,Fuel2Coin,FC2,PoS,/coins/fc2/overview,X11,,,,,
NRX,Neironix,NRX,N/A,/coins/nrx/overview,N/A,,,,,
WDC,WorldCoin,WDC,PoW,/coins/wdc/overview,Scrypt,,,,,
RUNE,Thorchain,RUNE,N/A,/coins/rune/overview,N/A,,,,,
NSD,Nasdacoin,NSD,PoW/PoS,/coins/nsd/overview,Scrypt,,,,,
TRNSC,Transmutecoin,TRNSC,N/A,/coins/trnsc/overview,N/A,,,,,
WDX,WeiDex,WDX,N/A,/coins/wdx/overview,N/A,,,,,
NSP,NOMAD.space,NSP,N/A,/coins/nsp/overview,N/A,,,,,
SENSO,SENSO,SENSO,N/A,/coins/senso/overview,N/A,,,,,
NSR,NuShares,NSR,PoS,/coins/nsr/overview,PoS,,,,,
NSS,NSS Coin,NSS,N/A,/coins/nss/overview,N/A,,,,,
FCN,FantomCoin,FCN,PoW,/coins/fcn/overview,CryptoNight,,,,,
WEB,Webcoin,WEB,N/A,/coins/web/overview,N/A,,,,,
FCQ,Fortem Capital,FCQ,N/A,/coins/fcq/overview,N/A,,,,,
FCT,Factom,FCT,N/A,/coins/fct/overview,N/A,,,,,
FCS,CryptoFocus,FCS,PoW/PoS,/coins/fcs/overview,X11,,,,,
TBAR,Titanium BAR,TBAR,N/A,/coins/tbar/overview,N/A,,,,,
NTC,NineElevenTruthCoin,NTC,PoW/PoS,/coins/ntc/overview,Scrypt,,,,,
SENSE,Sense Token,SENSE,N/A,/coins/sense/overview,N/A,,,,,
TBCX,TrashBurn,TBCX,PoS,/coins/tbcx/overview,SHA-256D,,,,,
NTK,Neurotoken,NTK,N/A,/coins/ntk/overview,N/A,,,,,
NZDX,eToro New Zealand Dollar,NZDX,N/A,/coins/nzdx/overview,N/A,,,,,
NTM,NetM,NTM,PoW,/coins/ntm/overview,Scrypt,,,,,
WET,WeShow Token,WET,N/A,/coins/wet/overview,N/A,,,,,
NTO,Neutro Protocol,NTO,N/A,/coins/nto/overview,N/A,,,,,
WEX,Wexcoin,WEX,PoS,/coins/wex/overview,N/A,,,,,
CQST,ConquestCoin,CQST,PoW/PoS,/coins/cqst/overview,X13,,,,,
NTY,Nexty,NTY,N/A,/coins/nty/overview,N/A,,,,,
RDNN,Raiden Network,RDNN,N/A,/coins/rdnn/overview,N/A,,,,,
NTZ,Notarised,NTZ,N/A,/coins/ntz/overview,N/A,,,,,
FDX,fidentiaX,FDX,PoS,/coins/fdx/overview,N/A,,,,,
EFYT,Ergo,EFYT,N/A,/coins/efyt/overview,N/A,,,,,
FDZ,Friendz,FDZ,N/A,/coins/fdz/overview,N/A,,,,,
RUBIT,Rublebit,RUBIT,PoW,/coins/rubit/overview,Scrypt,,,,,
HPAY,HadePay,HPAY,N/A,/coins/hpay/overview,N/A,,,,,
NUM,NumbersCoin,NUM,PoW/PoS,/coins/num/overview,Scrypt,,,,,
WFX,WebFlix,WFX,N/A,/coins/wfx/overview,N/A,,,,,
OCTO,OctoCoin,OCTO,N/A,/coins/octo/overview,N/A,,,,,
NUT,Native Utility Token,NUT,N/A,/coins/nut/overview,N/A,,,,,
HXRO,Hxro,HXRO,N/A,/coins/hxro/overview,N/A,,,,,
FF1,Two Prime FF1 Token,FF1,N/A,/coins/ff1/overview,N/A,,,,,
WGC,WeGen Platform,WGC,N/A,/coins/wgc/overview,N/A,,,,,
FET,Fetch.AI,FET,N/A,/coins/fet/overview,N/A,,,,,
NICE,NiceCoin,NICE,PoW,/coins/nice/overview,Scrypt,,,,,
MWAT,RED MegaWatt,MWAT,N/A,/coins/mwat/overview,N/A,,,,,
NVC,NovaCoin,NVC,PoW/PoS,/coins/nvc/overview,Scrypt,,,,,
WGO,WavesGO,WGO,N/A,/coins/wgo/overview,N/A,,,,,
WGP,W Green Pay,WGP,N/A,/coins/wgp/overview,N/A,,,,,
FFC,FireflyCoin,FFC,PoW,/coins/ffc/overview,SHA-256,,,,,
WGR,Wagerr,WGR,N/A,/coins/wgr/overview,PoS,,,,,
NVL,Nevula,NVL,N/A,/coins/nvl/overview,NEP-5,,,,,
CEDEX,CEDEX Coin,CEDEX,N/A,/coins/cedex/overview,N/A,,,,,
FFM,Files.fm Library,FFM,N/A,/coins/ffm/overview,N/A,,,,,
POLL,ClearPoll,POLL,N/A,/coins/poll/overview,N/A,,,,,
WHL,WhaleCoin,WHL,PoW,/coins/whl/overview,Ethash,,,,,
NWC,Newscrypto Coin,NWC,N/A,/coins/nwc/overview,N/A,,,,,
WHN,Windhan Energy,WHN,N/A,/coins/whn/overview,N/A,,,,,
SPEC,SpecCoin,SPEC,PoW,/coins/spec/overview,Scrypt,,,,,
GUSD,Gemini Dollar,GUSD,N/A,/coins/gusd/overview,N/A,,,,,
WHO,Truwho,WHO,N/A,/coins/who/overview,N/A,,,,,
BNTE,Bountie,BNTE,N/A,/coins/bnte/overview,N/A,,,,,
NWP,NWPSolution,NWP,N/A,/coins/nwp/overview,N/A,,,,,
BLOCK,BlockNet,BLOCK,PoW/PoS,/coins/block/overview,PoS,,,,,
WHY,Whisky Token,WHY,N/A,/coins/why/overview,N/A,,,,,
PITCH,PITCH,PITCH,N/A,/coins/pitch/overview,N/A,,,,,
BLOCM,BLOC.MONEY,BLOCM,PoW,/coins/blocm/overview,Cryptonight Haven,,,,,
RUPX,Rupaya,RUPX,PoS,/coins/rupx/overview,Quark,,,,,
GOALS,UnitedFans,GOALS,N/A,/coins/goals/overview,N/A,,,,,
WIC,Wi Coin,WIC,N/A,/coins/wic/overview,N/A,,,,,
WIB,Wibson,WIB,N/A,/coins/wib/overview,N/A,,,,,
FAME,FameCoin,FAME,PoW/PoS,/coins/fame/overview,QuBit,,,,,
MNRB,MoneyRebel,MNRB,N/A,/coins/mnrb/overview,N/A,,,,,
BFCH,Big Fun Chain,BFCH,N/A,/coins/bfch/overview,N/A,,,,,
FGZ,Free Game Zone,FGZ,PoW,/coins/fgz/overview,Scrypt,,,,,
NXC,Nexium,NXC,N/A,/coins/nxc/overview,N/A,,,,,
GMAT,GoWithMi,GMAT,N/A,/coins/gmat/overview,N/A,,,,,
NXE,NXEcoin,NXE,PoW/PoS,/coins/nxe/overview,NIST5,,,,,
WIN,WINk,WIN,N/A,/coins/win/overview,N/A,,,,,
MNRL,Mineral,MNRL,N/A,/coins/mnrl/overview,N/A,,,,,
SMARTUP,Smartup,SMARTUP,N/A,/coins/smartup/overview,N/A,,,,,
RUST,RustCoin,RUST,PoW/PoS,/coins/rust/overview,Scrypt,,,,,
WIT,Witcoin,WIT,PoW,/coins/wit/overview,N/A,,,,,
CORAL,CoralPay,CORAL,PoS,/coins/coral/overview,X13,,,,,
WIX,Wixlar,WIX,N/A,/coins/wix/overview,N/A,,,,,
NXS,Nexus,NXS,PoW/nPoS,/coins/nxs/overview,SHA3,,,,,
WIZ,Crowdwiz,WIZ,PoS,/coins/wiz/overview,N/A,,,,,
LTCD,LitecoinDark,LTCD,PoW,/coins/ltcd/overview,Scrypt,,,,,
NETKO,Netko,NETKO,N/A,/coins/netko/overview,Blake,,,,,
ACAT,Alphacat,ACAT,N/A,/coins/acat/overview,N/A,,,,,
BFDT,Befund,BFDT,N/A,/coins/bfdt/overview,N/A,,,,,
LTCC,Listerclassic Coin,LTCC,PoW/PoS,/coins/ltcc/overview,Scrypt,,,,,
NXT,Nxt,NXT,PoS/LPoS,/coins/nxt/overview,PoS,,,,,
ATCC,ATC Coin,ATCC,PoW,/coins/atcc/overview,Scrypt,,,,,
BNTY,Bounty0x,BNTY,N/A,/coins/bnty/overview,N/A,,,,,
LTCH,Litecoin Cash,LTCH,N/A,/coins/ltch/overview,N/A,,,,,
LTCR,LiteCreed,LTCR,PoW/PoS,/coins/ltcr/overview,QuBit,,,,,
LTCP,LitecoinPro,LTCP,PoW,/coins/ltcp/overview,Scrypt,,,,,
LTCU,LiteCoin Ultra,LTCU,PoW/PoS,/coins/ltcu/overview,Scrypt,,,,,
BNTN,Blocnation,BNTN,PoS,/coins/bntn/overview,PoS,,,,,
NYC,NewYorkCoin,NYC,PoW,/coins/nyc/overview,Scrypt,,,,,
NYE,NewYork Exchange,NYE,N/A,/coins/nye/overview,N/A,,,,,
LTCX,LitecoinX,LTCX,PoW,/coins/ltcx/overview,X11,,,,,
TSHP,12Ships,TSHP,N/A,/coins/tshp/overview,N/A,,,,,
VOISE,Voise,VOISE,N/A,/coins/voise/overview,N/A,,,,,
NYN,NYNJA,NYN,N/A,/coins/nyn/overview,N/A,,,,,
STAKE,xDai Chain,STAKE,N/A,/coins/stake/overview,N/A,,,,,
