name,coinName,symbol,proofType,url,algorithm,summary,lifespan,founder,durl
BIM,BitminerCoin,BIM,PoW,/coins/bim/overview,CryptoNight,,,,,
BIP,Minter,BIP,DPoS/LPoS,/coins/bip/overview,N/A,,,,,
BIO,Biocoin,BIO,N/A,/coins/bio/overview,N/A,,,,,
SKC,Skeincoin,SKC,PoW,/coins/skc/overview,Skein,,,,,
SKB,SkullBuzz,SKB,PoS,/coins/skb/overview,SHA-256,,,,,
XSPEC,Spectre,XSPEC,PoS,/coins/xspec/overview,POS 3.0,,,,,
BIT,BitRewards,BIT,N/A,/coins/bit/overview,N/A,,,,,
BIS,Bismuth,BIS,PoW,/coins/bis/overview,N/A,,,,,
BIX,BiboxCoin,BIX,N/A,/coins/bix/overview,N/A,,,,,
SKI,Skillchain,SKI,N/A,/coins/ski/overview,N/A,,,,,
SKM,Skrumble Network,SKM,N/A,/coins/skm/overview,N/A,,,,,
AGRS,Agoras Token,AGRS,N/A,/coins/agrs/overview,N/A,,,,,
SHPING,Shping Coin,SHPING,N/A,/coins/shping/overview,N/A,,,,,
SKP,Skelpy,SKP,DPoS,/coins/skp/overview,N/A,,,,,
SKR,Sakuracoin,SKR,PoW,/coins/skr/overview,Scrypt,,,,,
AGRO,Bit Agro,AGRO,N/A,/coins/agro/overview,N/A,,,,,
RICE,RiceCoin,RICE,PoW/PoS,/coins/rice/overview,X13,,,,,
SKY,Skycoin,SKY,N/A,/coins/sky/overview,N/A,,,,,
BBGC,BigBang Game,BBGC,N/A,/coins/bbgc/overview,N/A,,,,,
SLC,SLICE,SLC,PoW,/coins/slc/overview,QuBit,,,,,
JANE,JaneCoin,JANE,PoW/PoS,/coins/jane/overview,X11,,,,,
SLG,SterlingCoin,SLG,PoS,/coins/slg/overview,X13,,,,,
KURT,Kurrent,KURT,PoW,/coins/kurt/overview,X11,,,,,
BTCGO,BitcoinGo,BTCGO,PoS,/coins/btcgo/overview,N/A,,,,,
GIFT,GiftNet,GIFT,PoW,/coins/gift/overview,X13,,,,,
FFCT,FortFC,FFCT,N/A,/coins/ffct/overview,N/A,,,,,
HCXP,HCX PAY,HCXP,PoW,/coins/hcxp/overview,CryptoNight,,,,,
SLM,SlimCoin,SLM,PoB,/coins/slm/overview,N/A,,,,,
FNTB,FinTab,FNTB,N/A,/coins/fntb/overview,N/A,,,,,
SLR,SolarCoin,SLR,PoW,/coins/slr/overview,Scrypt,,,,,
KUSD,Kowala,KUSD,N/A,/coins/kusd/overview,N/A,,,,,
SLT,Social Lending Network,SLT,N/A,/coins/slt/overview,N/A,,,,,
BKC,Balkancoin,BKC,PoW,/coins/bkc/overview,CryptoNight,,,,,
SLS,SaluS,SLS,PoW/PoS,/coins/sls/overview,Scrypt,,,,,
KUSH,KushCoin,KUSH,PoW/PoS,/coins/kush/overview,X11,,,,,
SLV,Silverway,SLV,N/A,/coins/slv/overview,N/A,,,,,
SLX,Slate,SLX,PoW,/coins/slx/overview,Slatechain,,,,,
SLY,SELFLLERY,SLY,N/A,/coins/sly/overview,N/A,,,,,
BKK,BKEX Token,BKK,N/A,/coins/bkk/overview,N/A,,,,,
BKN,BlockState,BKN,N/A,/coins/bkn/overview,N/A,,,,,
SMC,SmartCoin,SMC,PoW,/coins/smc/overview,Scrypt,,,,,
BKT,Blocktrade token,BKT,N/A,/coins/bkt/overview,N/A,,,,,
SMF,SmurfCoin,SMF,PoW/PoS,/coins/smf/overview,Scrypt,,,,,
BKX,BANKEX,BKX,N/A,/coins/bkx/overview,N/A,,,,,
TOKC,Tokyo Coin,TOKC,PoS,/coins/tokc/overview,X13,,,,,
DAYTA,Dayta,DAYTA,N/A,/coins/dayta/overview,N/A,,,,,
DYNO,DYNO,DYNO,N/A,/coins/dyno/overview,N/A,,,,,
BLC,BlakeCoin,BLC,PoW,/coins/blc/overview,Blake,,,,,
TOKO,ToKoin,TOKO,N/A,/coins/toko/overview,N/A,,,,,
BTCHG,1X Short Bitcoin Token,BTCHG,N/A,/coins/btchg/overview,N/A,,,,,
SMT,SmartMesh,SMT,N/A,/coins/smt/overview,N/A,,,,,
APEX,ApexCoin,APEX,PoW/PoS,/coins/apex/overview,X13,,,,,
BLK,BlackCoin,BLK,PoS,/coins/blk/overview,Scrypt,,,,,
PHORE,Phore,PHORE,N/A,/coins/phore/overview,POS 3.0,,,,,
BLN,Bulleon,BLN,PoW,/coins/bln/overview,N/A,,,,,
SNB,SynchroBitcoin,SNB,N/A,/coins/snb/overview,N/A,,,,,
SCONE,Sportcash One,SCONE,N/A,/coins/scone/overview,N/A,,,,,
SND,Sandcoin,SND,N/A,/coins/snd/overview,N/A,,,,,
SWIFT,BitSwift,SWIFT,PoW/PoS,/coins/swift/overview,Scrypt,,,,,
