cat1,cat2,name,raised,desc,ticker,start,end,www
germany,,nonecoin,0.3,"The NONECoin platform is a decentralized self-evolving cryptocurrency that is built on Trust Contracts and an embedded decision making system called the Congress Network. Trust Contracts are securely executable contracts based on a protocol layer called Owlchain, which consists of the Web Ontology anguage and the Timed Automata Language. Trust Contracts aim to overcome the issues regarding non-decidable smart contracts by using a more contained and comprehensible programming framework which provides secure and decidable transactions of contracts. The Congress Network is the decision making ody in the NONECoin platform which solves governance issues arising in decentralized organizations. Through a clearly defined and automated governance system, we aim to continuously develop the community and software into a more anti-fragile ecosystem.",NCO,14th Jul 2018,28th Aug 2018,https://nonecoin.com,Germany,https://nonecoin.com/NONECoinWhitePaper.pdf
malta,,apollon,,"Apollon’s business vision is to provide commercial-level integrated blockchain infrastructure services. The core competency for this business model rests on the following: a. a community marketplace concept based on a host of diverse pan-entertainment offerings; b. capable and robust technology deployment in the blockchain, side-chain, and blockchain security; c. strong and secure payment tools and gateways; d. and a 2-tier currency structure with LCash tied to the US dollar to alleviate operators’ pain points.",APO,1st Aug 2018,31st Aug 2018,https://www.apollon-foundation.org,Malta,http://www.apollon-foundation.org/static/file/Apollon_Whitepaper.pdf,,,,,,,,
malta,,pyapay,,"PyaPay's open-source Pull Payment Protocol is a comprehensive blockchain solution which offers robust payment mechanisms far more credible, efficient, flexible, cost-effective, and scalable than current implementations (credit cards). Unlike today's payment methods, which include credit cards and virtual coins like Bitcoin, the Pull Payment Protocol was designed from the ground up specifically to overcome existing hurdles and offers a set of tools developed to facilitate onboarding processes for both businesses and individuals.",PYP,14th May 2018,14th Jun 2018,https://pyapay.coSmart Contract,,gamblica,1.371565,"GLOBAL BLOCKCHAIN-BASED GAMBLING PLATFORM DEVELOPED BY PLAYERS FOR PLAYERS Unlike all similar projects, our project is led by a team of managers with extensive experience in the field of gambling, whose main goal is to provide a pleasant and convenient user experience. Gamblica addresses the global problem of gambling fraud by giving each player an opportunity to check and verify the casino’s algorithms. The main reasons to buy GMBC: - A limited number of tokens with no additional issue after Token Sale. - All payments within the platform are made with GMBC only, which will foster the token's growth. - The ever-growing market of online gambling.",GMBC,1st Mar 2018,2nd Aug 2018,https://gamblica.com,Malta,https://gamblica.com/documents/WP_Gamblica_v.1.0.4_en.pdf
russia,,compositecoin,,"The Compositecoin platform brings together innovative projects for the real economy and their potential investors. Unlike other aggregators, the third and mandatory side of the process are experts, if necessary also performing the role of mentors in the development of business innovation projects. Expertise of projects is carried out by independent experts in two key areas. The task of the technical expert is to give an opinion on the scientific and technical prospects of the projects being drawn up for the ICO. The business expert examines the commercial component of the project: the market, the project team, the prospects for commercialization, the financial model, etc. The income of each expert depends on the revenues of the Compositcoin platform, which motivates them to the highest quality performance of their work",CMN,1st Jul 2018,1st Aug 2018,http://compositecoin.io,Russia,http://compositecoin.io/img/presentation_eng.pdf
russia,,ekspa,0.05,"Ekspa is not just a web application, it is a multi-faceted platform that will allow, on the one hand, to connect customers and suppliers without intermediaries, providing a basic service, the use of the platform for free, that is, according to the Freemium model. On the other hand, it will allow advertisers and investors to quickly find the target audience. Thus, the main task - to search on the platform and establish contacts will be free, allowing you to attract as many users to the application. While any user based on the use of the premium package will be able not only to use the platform, but also to further shape web marketing operations in the application, for example, to run advertising in the selected industry.",EKSPA,1st Aug 2018,31st Aug 2018,https://ekspa.io,Russia,https://ekspa.io/doc/whitepaper-en.pdf
russia,,gturbo,,GTurbo provides opportunity for robust investment in a well-established production of gas turbines. Purchase of the GTurbo derivative is a value-enhancing investment in real sector that implies clear and reliable scheme of buyout GTR tokens. Investing in GTurbo in the early stages will allow the participants to get profit of up to 300%.,GTR,15th Jul 2018,15th Aug 2018,http://gturbo.io,Russia,https://github.com/GTurboofficialorg/Documantation/blob/master/GTurbo%20-%20Whitepaper.pdf
russia,,ponics technologies,,Ponics Technologies is engaged in developing the aeroponics technologies of plants cultivation in a commercial scale. We are planning to change completely the market of agricultural technologies and provide the farmers with the possibility to grow high quality product with the maximum economic effect.,POT Token,5th Jun 2018,1st Aug 2018,https://ponics.tech,Russia,https://ponics.tech/PonicsTech-WhiteBook.pdf
russia,,sbinvestitions,,"We are registering a pioneer company. Using our experience and knowledge, we find a site with deposits of block stone, draw up a license for subsoil use for 25 years, conduct geological exploration, obtain samples of stone and sell a company with a license to large investors ready to develop the deposit. Currently, there is a growing speculative demand in the Russian market for ready-made deposits of block granite in connection with the scarcity of quality stone. We want to partially meet this demand, receiving multiple returns for ourselves and our investors.",SBI,1st Jul 2018,31st Aug 2018,https://sbinvest.pro,Russia,https://sbinvest.pro/documents/wp-en.pdf
russia,,smarto,,"SmartO is a project aimed at creating a versatile mobile app that will organize your schedule, make your life more comfortable, easy and fulfill the eternal dream of millions of people: gaining regular profit without any efforts. SmartO analyses data from thousands of sources non-stop: other applications, geoinformation systems, solves optimization issues with a single aim — to provide the user with the optimal itinerary to solve all the objectives with maximum efficiency.",STO,15th May 2018,29th Aug 2018,http://www.smarto.im/en,Russia,http://www.smarto.im/images/docs/wp-eng.pdf
russia,,zodiaq,,"Zodiaq is a crypto-fiat platform for the implementation of settlement, guarantee and clearing operations. It includes a bank, an exchange, a hedge fund, and a payment operator (PSD2 compliant).The strong side is that our bank have a licence for operations both in fiat and crypto currencies, and a banking software that is ready and operational. The bank connected to SWIFT and have FATCA JIIN. Exchange and hedge fund software are developed and in a testing stage. On ICO we raise funds for further development and scaling.",ZOD,8th Jul 2018,7th Aug 2018,http://zodiaq.io,Russia,https://www.zodiaq.io/file/ZODIAQ_WP.pdf
singapore,,baappay,,"BaapPay is a multi-layered platform which features a payment gateway, point of sale software, and our very own BaapWorld app store. We believe that as cryptocurrency adoption further penetrates businesses and the lives of consumers, there will be a point where; buying, selling, and trading cryptocurrency will be a part of everyday living.",ANC,8th Aug 2018,17th Aug 2018,http://coinveanc.info,Singapore,https://baappaytoken.com/whitepaper.pdf
singapore,,conun,,"CONUN is a platform for building a horizontally distributed desktop computing system that can share the idle processing resources of personal computers to handle multiple projects (tasks) that require high performance computing resources. The platform includes not only personal computers but also the resources of smartphones that individuals carry. CONUN connects a personal computer to a peer-to-peer (P2P) network from the Internet, the owner ("Requestor") of an application that requires high performance computing power leases some compute power from the computer of the person or group (the "Provider") that wants to share their computing resources. This configuration can be useful for projects that typically require large amounts of work and long processing times. CONUN implements a method for organizing the necessary processes from the requestor's applications and effectively executing them on distributed computing resources. This approach replaces costly cloud computing services, reducing computing time and making complex applications such as scientific calculations and machine learning easier to use at lower cost. CONUN does not have to pay for using existing cloud computing because it builds high computing power by collecting and sharing resources of personal desktop computers. In addition, because of the distributed computing architecture, certain groups do not have a single control authority to monopolize and regulate resources.",CONUN,1st Jul 2018,15th Aug 2018,https://www.conun.io,Singapore,https://conun.io/file/CONUN_Whitepaper_v1.0_en.pdf
singapore,,creatanium,20.778,"Creatanium will serve as a medium of exchange between tokens launched on the network, providing liquidity for SMEs launching their ICOs using the platform, as well as creating a viable trading environment for their investors. Additional, Creatanium will be used by users to pay to thousands of Merchants for their products/services.",CMB,6th Jun 2018,30th Aug 2018,https://creatanium.io,Singapore,https://creatanium.io/front/assets/documents/white_paper.pdf
singapore,,cyclean,1.06,"CyClean is a project that promotes clean energy through a rental system of electric vehicles. It applies blockchain technology and smart contracts to encourage people to use electric vehicles, thus reducing the emission of toxic gases. Cyclean coin can be mined just by using CyClean products based on Meters or Watts. Traditional ways of mining coins are not sustainable to our nature. But we have implemented innovative way to connect environmental protection, block chain, electric vehicles, and peoples' desire to be rewarded. By using CYCLEAN product, one can mine coin just by using the product. For example, if a user rides CYCLEAN electric motorbikes, the user gets coin based on Meters traveled. This is possible because we upgrade good product with wireless network and server integration. We are mainly focused on stopping exhaust fumes with immediate motivation and effect. As we expand more, we replace more exhaust fumes. Join our clean cycle. Save yourself and earth, be rewarded.",CCL,27th Jun 2018,21st Aug 2018,http://cyclean.io,Singapore,https://d3a0tayilhc96r.cloudfront.net/WHITEPAPER_CYCLEAN.pdf
singapore,,dst,9.0,"DST is a decentralize silver ecosystem with underlying blockchain technology, utilizing smart contract protocol to allow traditional silver mining industrial to digitize the industrial resources, increase assets circulation and production efficiency, as well as increasing the credibility of quality assurance through credible and sophisticated verification process and warranty card certification.",DST,15th Jun 2018,15th Aug 2018,https://dstoken.io,Singapore,https://dstoken.io/wp-content/uploads/2018/05/DST-White-Paper-V2.0.pdf
singapore,,dxchain,0.8,"DxChain is a big data and machine learning network powered by a computation-centric blockchain with a native protocol token (DX). With a number of significant innovations, especially the revolutionary “Chains-on-chain” architecture design, DxChain provides a comprehensive solution for running machine learning algorithms and businesses intelligence on big data and keeping data secure and private.",DX,3rd Aug 2018,6th Aug 2018,https://www.dxchain.com,Singapore,https://docsend.com/view/8w3fman
singapore,,endo protocol,5,"The ENDO ecosystem allows organisations and users to participate in information and service exchange through the ENDO Token. All applications of this system have one goal – to create a single secure and certified environment for all important data. All your personal, corporate and publicly available information about education, identity, medical records and the like – can be controlled through the ENDO Platform. The platform will provide protected access of your stored information to third parties of your choice. Organisations can connect their own applications to the ENDO Platform through API to intertrade information, and users will receive ENDO Tokens as a reward for granting access to their data.",ET,20th May 2018,25th Aug 2018,https://tokensale.endo.im,Singapore,https://endo.im/whitepaper/
