cat1,cat2,name,raised,desc,ticker,start,end,www,,,,,,,,
Banking,,zest,,"Zest proposes the first ‘decentralized syndicate’ which aims to provide access to the pre-ipo opportunities of Silicon Valley. Zest disrupts the traditional boundaries by using a cryptocurrency as a medium of exchange into a venture capital fund. By pooling capital together, the syndicate is able to access these funds as a single participant. When a portfolio company succeeds in performance, resulting in either a higher series of fundraising or an IPO, the parent fund will often shed profit to their limited partners. When this occurs, Zest is given back fiat currency which is traded back into cryptocurrency and sent to the exchange partner (LATOKEN). Zest will then initiate a mass purchase of market priced Zest tokens (Z) followed by a burn of all the tokens collected in this way. This means the total amount of tokens available is continuously diminishing and, theoretically, could actually disappear from the market entirely.",Z,10th Jun 2019,17th Dec 2019,https://zest.fund,Estonia,https://drive.google.com/file/d/1U1IkRHI5VCdc1SPonr1x9aOwC9wKUodt/view?usp=sharing
Big Data,,arcallia,,"Arcallia is developing the world’s first decentralized blockchain-powered global marketplace for innovation. The ethos of Arcallia’s EESTY Coin is to be the bridge between investors and inventors and to create a win-win context where all the stakeholders in particular and our entire world, in general, can benefit from technical innovations brought to life.",EEC,2nd Feb 2018,31st Mar 2018,https://arcallia.com,,,,,,,,
Big Data,,biotron.io,4.02915,"Biotron is a user permissioned & revenue sharing personal data warehouse benefiting from blockchain transparency to provide the most accurate user analytics, helping organisations make timely and correct decisions. Our solution allows anyone to securely provide their data from online services, social networks, sensors and IoT devices. Based on this data, we create high quality & accurate data analytics to help organisations and individuals gain new insights and make better decisions.",BTN,27th Mar 2018,5th Apr 2018,https://biotron.io,,,,,,,,
Big Data,,dataeum,,"Dataeum is a blockchain-based platform which uses crowdsourcing to enable the collection of 100% of all global physical data (such as stores, gas stations, traffic signs) anywhere in the world, with 100% accuracy. It does this by using a distributed workforce of "collectors" who are incentivized in XDT Tokens to submit physical data. Dataeum already has an App which makes it the only company that enables to gather 100% of any physical data, anywhere in the world, with 100% accuracy and make it available on a decentralized marketplace. The collection solution has proven its scalability during successful tests in three major European cities - with a large community of collectors. Dataeum has attracted not only highly experienced and devoted team members, but also such well-known advisors as Simon Cocking (TedX speaker, top 3 ICO advisor on Icobench), Ian Scarffe (digital blockchain expert top 3 advisors), Anders Larsson (VP at Ericsson, top 10 advisors).",XDT,1st Nov 2019,31st Dec 2019,https://dataeum.com,Estonia,https://dataeum.io/white-paper.pdf
Big Data,,destream,5.6,"DeStream is the first decentralized global financial ecosystem for streamers. The main aim of project DeStream is establishing a decentralized global platform for the streaming market that will allow maximizing the productivity of streamers, diversifying their activities and securing start-up capital. We are establishing an innovative platform that will act as an ecosystem for streamers. The use of blockchain technology will allow us to reduce transaction fees by more than twofold. Decentralization will allow us to exclude payment systems from the process and reduce numerous transactions costs. Thus, we will improve the quality of the content and the streamers will be allowed to focus on creation, instead of operational activities.",DST,1st Aug 2018,30th Sep 2018,https://destream.io,Estonia,https://destream.io/media/1102/whitepaper_en.pdf,,,,,,
Big Data,,ducatur,,"DUCATUR is a framework that allows you to create oracles for reliable data exchange between the interacting participants on the blockchain. That would be a system in which you always trust the received data and which provides a reliable connection between the blockchain and external information. Our token DUCAT is used in all the data-transactions in our ecosystem it's also one of the first ever Multichain tokens in the cryptospace. In the future it will be interchangable between ETH, EOS and NEO. The DUCATUR framework solves the problem of missing of single data exchange solution, which makes it impossible to build a system of ratings and interactions between different oracles / data sources at the global level. We create a framework with single registry of all existing solutions and a unified reputation system, on the basis of which trust will be formed.",DUCAT,1st Jun 2018,30th Jun 2018,https://ducatur.com,,,,,,,,
Big Data,,lattice,,"The era of quantum computer is already in front of me. In the cryptography used in the current cryptographic currency, it is broken by the quantum computer, and its cryptographic currency becomes useless. In the quantum era, we developed a cryptographic currency that can be safely used. By using the quantum computer in reverse, we theoretically succeeded in drastically improving the remittance speed of the block chain.",LTI,24th Apr 2018,30th Jun 2018,http://lattice4crypto.com,,,,,,,,
Big Data,,market.space,15.2,"Market.space aims to create a perfectly reliable and secure, yet cost-effective data storage system. Market.space brings together professional hosting providers in one place where customers can easily approach them and choose a contractor with the best suitable price and rating.",MASP,16th Apr 2018,6th Jun 2018,https://market.space,,,,,,,,
Business services,,aca network,,"ACA Network is utilizing blockchain technology to build a next-generation online advertising platform. Our aim is to create a completely fair, transparent system of online advertising transactions.   In accordance with technological advances, the online advertising market has continued to expand. In 2018, the worldwide online advertising market is predicted to exceed $281 billion US, and seems likely to continue to expand further.   However, there is a problem with the online advertising industry. Online advertising agencies that mediate transactions between advertisers and advertising media are exploiting both sides by claiming borderline fraudulently high handling fees. This is the result of the extremely secretive environment in which online advertising transactions take place. Using blockchain technology, we intend to forge ahead into the future of the online advertising industry by disrupting it with a revolutionarily transparent method of making online advertising transactions.",ACA,4th Aug 2018,2nd Dec 2018,https://aca.network,Estonia,https://aca.network/documents/aca_whitepaper.pdf,,,,,,
Business services,,allsesame,0.7,"AllSesame - Decentralized Social Food Network Powered by Blockchain. AllSesame Token is a Blockchain Ecosystem, architecturally designed to create the most Socialized Global Food Delivery Marketplace, developed collaboratively, using the blockchain technology. In today's world the technological development strives ahead very quickly. The trends of digitization and automation are already in full swing. The development of the Blockchain technology has led to a new trend- the trend of decentralization. The principles that are declared and strictly observed by the company: • Transparency to investors and the state. • Transparency of activities and transparency of decision-making. • Readiness to cooperate with all interested people and organizations; • Fairness- a fair payment to investors. • Fair conditions for partners and employees.",SST,21st May 2019,30th Aug 2019,https://www.allsesame.com,Estonia,https://allsesame.com/allsesame-whitepaper.pdf
