cat1,cat2,name,raised,desc,ticker,start,end,www,,
Banking,,coal industry coin,37.213381,"It is a Cryptocurrency with its own decentralised ledger, Safeguard by Physical assets of Coal Mining Sites, Driven By Decentralised Blockchain, Controlled by Specified algorithms, Accepted by growing Crypto Currency Community! CIC is adopted with all the new algorithms and digital technology to get transactable in both types of Economy! This is very different from Old-fashioned bank accounts. Old Bank Protocols only work properly in one country and one currency. That’s why we built the Borderless Currency and accounts, available now for both types of Economy.",CIC,31st Dec 2018,8th Sep 2019,https://www.coalcoin.io,UK,https://coalcoin.io/coincoal/whitepaperCIC.pdf
Banking,,cruisebit,16.0,"Cruisebit Coin is crypto currency that represents digital value provided by blockchain technology. At present Cruisebit uses the blockchain of "proof of work" for decentralization purposes. Cruisebit coin offers customers fast and effective transfers on any electronic wallets existing on the platform. Cruisebit coin can create online ecosystem where potential investors and customers can quickly and easily verifiably transfer funds.",CRBT,10th May 2018,10th Jul 2018,https://www.cruisebit.com,UK,https://www.cruisebit.com/img/Cruisebit%20whitepaper%20V1.0.pdf
Banking,,cryptoriya,,"Cryptoriya is the first blockchain based technology where users can exchange any cryptocurrency to cash within minutes from anywhere globally and it supports 1600+ cryptocurrency or token in a single platform. CryptoRiya is a platform for the future of Crypto-Currency that enables anyone to spend, withdraw, sell, buy & sends any crypto-currency anywhere globally without any bank account. While existing solutions offer to solve just one problem at a time, our team is up to build a secure, useful, & easy-to-use product based on Ethereum Blockchain. It will include easy Crypto-Currency to cash payments and even a digital arbitration system. At the end, our aim is to make any crypto-currency usable in daily life & getting cash from any crypto-currency within minutes around the world which will make any crypto-currency genuinely efficient, transparent, and reliable.",CIYA,1st Jul 2018,14th Aug 2018,https://www.cryptoriya.io,UK,https://www.cryptoriya.io/whitepaper.pdf
Banking,,currenexchange,0.007737,"With CurrenExchange, you will be able to trade almost all cryptocurrencies on the current market. We will provide trading with almost all cryptocurrencies and also trading with ERC20-Tokens before release. Currenexchange will also give you the possibility to buy or sell your Ethereum or Bitcoin directly through our Fiat Gateway. CurrenExchange will connect everything you need.",CurX,18th May 2018,8th Jun 2018,https://www.currenexchange.com,UK,https://docs.wixstatic.com/ugd/38a866_6f873cf21cb444098c962dbd533fb813.pdf
Banking,,denaro,8.823281,"Denaro seamless payment ecosystem bridges the divide between cryptocurrencies and the mainstream market. The platform enables companies and individuals to send, spend, store, and exchange cryptos and fiat through secure web wallets, physical debit cards, merchant payment terminals, and IBAN.",DNO,30th Jan 2018,15th Mar 2018,https://denaro.io,UK,https://denaro.io/docs/Denaro_Whitepaper.pdf
Banking,,entry,,"ENTRY is a blockchain - based platform empowered by smart contracts; it which not only acts as a bank by offering easy deposits, payment and lending services, cross-border payments, ATM facility/convenient withdrawals, but also as a cryptocurrency exchange for the business and consumer world.",ENTRY,1st Jun 2018,31st Aug 2018,https://entry.money,UK,https://entry.money/ENTRY_Whitepaper_v1.pdf
Banking,,fxpay,15.0,"Our goal is to address the current inefficiencies within the market and to provide cost-saving solutions to brokers, traders, and liquidity providers. By utilizing blockchain technology, FXPay can intelligently reduce the risk for brokers and traders by providing more opportunities and increase the speed of transactions in the Forex market. FXPay is proud to bring our initial coin offering to the market and to allow investors to become part of our exciting new product and journey. The FXPay platform will immediately start addressing the issues within the current Forex market. Our proposed solution will demonstrate the tangible value of the FXP token.",FXP,1st Aug 2018,31st Oct 2018,https://fxpay.io,UK,https://fxpay.io/pdf/WhitePaper-FXpay-page.pdf
Banking,,gazellefund,,"Cryptocurrency exchange with loss compensation and profit distribution between GZA token holders. A brand new cryptocurrency exchange with daily profit distribution between GZA token holders and compensation of losses during trading. Economic model developed by our experts and calculated to the last detail, will be able to return you almost all your losses, up to 100%. Gazellefund.trade creates the necessary conditions for transparency, convenience and simplicity with minimal risks for traders. With the Gazellefund.trade risks associated with trading are decreasing, allowing traders to save finances in case of errors. Asset management also available for cryptocurrency newbies who doesn't have trading knowledge.",GZA,27th Sep 2018,29th Oct 2018,http://gazellefund.trade,UK,https://tinyurl.com/yab353qh
Banking,,godbex,17.32,"Godbex revolutionizes existing trading markets by linking a gold bullion - physical gold in the form of gold bars (meeting Good Delivery standards - London Bullion Market Association) with the current and future cryptocurrencies, while maximizes customer’s profit by taking into account price changes of both financial assets.",GBE,24th Sep 2018,31st Jan 2019,https://godbex.io,UK,https://godbex.io/assets/documents/GODBEX-whitepaper-ENGLISH.pdf
Banking,,hubrisone,0.5,"HubrisOne is increasing cryptocurrency and blockchain technology adoption through a simple, innovative and user-friendly platform. We enable our customers to easily access instant blockchain cross-border money transfers, multi-currency bank accounts, cryptocurrency wallets and much more.",HBRS,1st Jan 2019,31st Mar 2019,https://www.hubrisone.com,UK,https://1drv.ms/b/s!AqUuKh_dzajG02ppbZ2KTTOUWwFf
