cat1,cat2,name,raised,desc,ticker,start,end,www
scam ico,,BKT,1,2017-2017,BKT,"","",https://www.coinopsy.com/dead-coins/bookira-token/,
crashed 2014,,AIR,1,2014-2016,AIR,"","",https://www.coinopsy.com/dead-coins/aircoin/,
pump and dump,,TOR,1,2017-2018,TOR,"","",https://www.coinopsy.com/dead-coins/torcoin/,
website down,,CREVA,1,2015-Current,CREVA,"","",https://www.coinopsy.com/dead-coins/crevacoin/,
abandoned project,,DLISK,1,2016-2018,DLISK,"","",https://www.coinopsy.com/dead-coins/dappster/,
no devlopment,,TURBO,1,2017-2018,TURBO,"","",https://www.coinopsy.com/dead-coins/turbocoin/,
swap/removed,,SONO,1,2017-2018-Swap,SONO,"","",https://www.coinopsy.com/dead-coins/sono/,
no volume,,APEX,1,2014-2016,APEX,"","",https://www.coinopsy.com/dead-coins/apexcoin/,
abandoned project,,INDIA,1,2017-2018,INDIA,"","",https://www.coinopsy.com/dead-coins/india-coin/,
swap/removed,,AERM,1,2017-2018-Swap,AERM,"","",https://www.coinopsy.com/dead-coins/aerium/,
scam coin,,TARG,1,2015-2018,TARG,"","",https://www.coinopsy.com/dead-coins/tagrcoin/,
failed ico,,BUNT,1,2017-2018,BUNT,"","",https://www.coinopsy.com/dead-coins/b-umbrella/,
scam coin,,ATOM,1,2016-Current ,ATOM,"","",https://www.coinopsy.com/dead-coins/atomic-coin/,
low volume,,URO,1,2017-Current,URO,"","",https://www.coinopsy.com/dead-coins/uro/,
scam?,,RHFC,1,2017-2018,RHFC,"","",https://www.coinopsy.com/dead-coins/rhfcoin/,
abandoned project,,MBL,1,2016-2018,MBL,"","",https://www.coinopsy.com/dead-coins/mobilecash/,
abandonment,,COE,1,2017-2017,COE,"","",https://www.coinopsy.com/dead-coins/coeval/,
node issues/volume,,PHS,1,2013-2014 2017-2018,PHS,"","",https://www.coinopsy.com/dead-coins/philosopher-stones/,
ico - social stopped,,LNDA,1,2017-2018,LNDA,"","",https://www.coinopsy.com/dead-coins/linda-healthcare/,
joke/scam,,CON,1,2015-Current,CON,"","",https://www.coinopsy.com/dead-coins/paycon/,
social/ranking,,USC,1,2017-Current,USC,"","",https://www.coinopsy.com/dead-coins/ultimate-secure-cash/,
abandoned/volume,,BRIT,1,2014-2018,BRIT,"","",https://www.coinopsy.com/dead-coins/britcoin/,
website down,,RMC,1,2017-Current,RMC,"","",https://www.coinopsy.com/dead-coins/remicoin/,
volume/website,,INPAY,1,2016-Current,INPAY,"","",https://www.coinopsy.com/dead-coins/inpay/,
joke/abandoned,,MCC,1,2014-2015,MCC,"","",https://www.coinopsy.com/dead-coins/mileycyruscoin/,
low volume,,Smart,1,2017-2018,Smart,"","",https://www.coinopsy.com/dead-coins/smartbillions/,
abandoned project,,SOJ,1,2017-2018,SOJ,"","",https://www.coinopsy.com/dead-coins/sojourn/,
exit scam,,SOPH,1,2018-2018,SOPH,"","",https://www.coinopsy.com/dead-coins/sophos/,
failed ico,,PIN,1,2017-2017,PIN,"","",https://www.coinopsy.com/dead-coins/ninth-wonder/,
scam/failed ico,,RHEA,1,2017-2017,RHEA,"","",https://www.coinopsy.com/dead-coins/rhea/,
failed ico,,SPRS,1,2017-2017,SPRS,"","",https://www.coinopsy.com/dead-coins/spheris/,
abandoned 2014,,ALC,1,2014-2014,ALC,"","",https://www.coinopsy.com/dead-coins/alcohoin/,
failed ico,,MCN,1,2017-2018,MCN,"","",https://www.coinopsy.com/dead-coins/admine/,
abandoned project,,LE,1,2017-Current ,LE,"","",https://www.coinopsy.com/dead-coins/tattoocoin-le/,
pump and dump,,ALF,1,2013-2014,ALF,"","",https://www.coinopsy.com/dead-coins/alphacoin/,
abandoned,,NET,1,2013-2018,NET,"","",https://www.coinopsy.com/dead-coins/netcoin/,
dead - 2.0,,LAT,1,14-15 17-current,LAT,"","",https://www.coinopsy.com/dead-coins/latium/,
scam coin,,ALI,1,2014-2015,ALI,"","",https://www.coinopsy.com/dead-coins/alipaycoin/,
likely scam,,AERO,1,2014-2014,AERO,"","",https://www.coinopsy.com/dead-coins/acros/,
lost momentum,,CPN,1,2014-Current,CPN,"","",https://www.coinopsy.com/dead-coins/compucoin/,
no exchanges,,FIMK,1,2014-2018,FIMK,"","",https://www.coinopsy.com/dead-coins/fimkrypto/,
