cat1,cat2,name,raised,desc,ticker,start,end,www,,
Banking,,nel,,"New Economy Ledger is a community-based ecosystem of investors supporting microfinance institutions through blockchain technology. The NEL ecosystem will be accessible through the NEL platform and via the dedicated mobile application NEL Wallet. NEL Wallet will be the only cryptocurrency wallet allowing lenders to earn money by financing microfinance institutions.",NEL,15th Sep 2018,24th Nov 2018,https://nel.network,Singapore,https://nel.network/resources/pdf/NEL-whitepaper.pdf
Banking,,okmcoin,,"OKMcoin is an ERC20 token which represents the right to purchase / trade Cryptocurrency Transaction Processing Capacity (Hardware) and Cryptocurrency Transaction Processing Ability (Software). Additionally, OKMcoins can be used to purchase products, services and mobile application subscriptions provided by OKM group of companies",OKMC,1st Jun 2018,30th Jun 2018,http://okmcoin.io,,
Banking,,omisego,25,"OmiseGO is a public Ethereum-based financial technology for use in mainstream digital wallets, that enables real-time, peer-to-peer value exchange and payment services agnostically across jurisdictions and organizational silos, and across both fiat money and decentralized currencies. Designed to enable financial inclusion and disrupt existing institutions, access will be made available to everyone via the OmiseGO network and digital wallet framework, starting in Q4 2017.",OMG,23rd Jun 2017,23rd Jul 2017,https://omg.omise.co,,
Banking,,paycent,,"Enabling cryptocurrencies to be spent anywhere and anytime. Paycent Card aims and seeks to offer its users access a plethora of blockchain assets and fiat currencies with realtime accessibility and convenience, while adhering to the highest security standards in the industry.",PYN,2nd Nov 2017,30th Nov 2017,https://paycent.com,,
Banking,,perlin,52.95,"Perlin is a highly scalable, PoS smart contract platform that achieves throughput of 31,000+ TPS and consistently has 0 to 4 second time to finality, all of which is made possible by Wavelet, a DAG-based probabilistic consensus mechanism. Perlin utilises leaderless PoS protocol which does not use committees or delegation, thereby ensuring the security properties of bitcoin but speeds comparable to private chains. Perlin is pursuing several adoption strategies but is currently focused on the $US 11 Trillion international trade market with its distribution partners such as the International Chamber of Commerce, Enterprise Singapore, Dubai Chamber of Commerce and others.",PERL,24th Aug 2019,25th Aug 2019,https://www.perlin.net,Singapore,https://wavelet.perlin.net/whitepaper.pdf
Banking,,plaak,,"PLAAK is a project that began in an effort to find a solution for the perceived incompatibility of incorporating blockchain technology more cohesively into people’s everyday lives, in a constructive manner. PLAAK is also looking at providing the opportunity to more easily invest in the economy through the PLAAK investment fund. The fund will operate within the PLAAK ecosystem and be primed to grow through strategic investment. The fund is fluid, with users given the opportunity to cash out whenever they wish. Another future development that the PLAAK team is looking at, is the ability to use tokens within the ecosystem to access quality health services from medical and healthcare participants.",PLK,28th Feb 2018,1st Jun 2018,https://plaak.com,,
Banking,,sentinel chain,14.4,"The Sentinel Chain is a B2B marketplace specifically designed to provide affordable and secure financial services to the unbanked. Sentinel Chain intends to issue the Sentinel Chain Token (SENC), a utility token that comprises of 6 major features, Insurance, loans, collateral, crowdfunding, community proyects and E-pays-",SENC,1st Mar 2018,10th Mar 2018,https://sentinel-chain.org,,
Banking,,stablecoins by platinum q dao engineering,,"Platinum Q DAO Engineering has developed a family of fully decentralized Stable Coins. There are 2 types of tokens: collateral for Bitcoin which are pegged to national currencies (USDQ coin, second KRWQ coin, and CNYQ and JPYQ will be soon ), and governance Q DAO coin to pay fees. There are also 2 ways of getting USDQ (or any collateral stable coins): -The first way is to buy them on exchanges or getting the credit via a special interface on the site. -And the second way is to deposit at least 166% from the desired sum in bitcoin as collateral (e.x. to get 100 dollars in USDQ the user leaves 166 dollars in Bitcoins) Q DAO coins are available during IEO on exchanges, Q BOX (internal AI feature which generates the coins), and OTC trading platform. Platinum Q DAO Engineering team is conducting 10 rounds of IEO. Thus everyone can get a chance to become an owner of Q DAO governance coins! Transparency and fair game are guaranteed! Each token sale round will take place on the first of every month at 17:00 KST time. The first round has finished at the beginning of this month with over 15000 Q DAO coins sold! That is one of the best results since the last bull run of 2019!",QDAO Governance token v1.0/QDAO,1st Oct 2019,1st Oct 2019,https://tokensale.qdao.io,Singapore,https://usdq.platinum.fund/docs/whitepaper[v0.8].pdf
Banking,,tenx,80,TenX connects your blockchain assets for everyday use. TenX’s debit card and banking licence will allow us to be a hub for the blockchain ecosystem to connect for real-world use cases.,PAY,24th Jun 2017,24th Jun 2017,https://www.tenx.tech,,
Banking,,unbankedx,,We are the world's first fully robo crypto bank serving the unbanked . UnbankedX is the number-one neo bank with users a support community from 70 countries and 700 over cities. We are profitably serving thousands of users in 15 markets.,UBX,1st Jun 2018,30th Jun 2018,https://www.unbankedx.com,,
Banking,,usechain,,"Usechain is committed to developing the world’s first mirror identity blockchain ecosystem. On the basis of current blockchain technology, Usechain innovatively sets Mirror Identity Protocol (MIP) as the foundation, brings the multi-layer technical and design innovation, breaks through the bottleneck for blockchain development, and provides technical infrastructure for virtual parallel worlds in the future. It will construct the future-oriented identity chain system with brand new technology and infrastructure. And it will construct the wider decentralized applications and provide the bottom-layer technical support for the decentralized applications in various industries, such as finance, payment, insurance, consumption, cultural broadcasting, charity and commonweal and social management, and so forth.",UST Token,8th Aug 2018,13th Aug 2018,http://www.usechain.net,Singapore,http://www.usechain.net/usechain_en.pdf
