cat1,cat2,name,raised,desc,ticker,start,end,www
switzerland,,ebosia,1.0,"Real-Time Application: Using our smartphone application, you will be able to find available charging stations at real-time, being able to reserve one with a maximum period of 15 min to charge your electric vehicle. Renewable Energy: Fighting against pollution and climate change, Ebosia project wants to be next to zero environmental spoor. We only use renewable and clean energy. Worldwide Partnerships: Day per day, we are trying to get a partnership with a large number of companies, getting of our project a successful project. Instant Transaction & No Fees: Once Ebosia token is launched at exchanges, our transactions are done instantly, having zero fees for buyer or seller. Charging Stations: As time goes on, more Ebosia charging stations will be installed worldwide. Our forecasts and our main intention is to have installed more than 3000 points of electric charging stations distributed around the world, in an approximate term of 5 years. Different Cards: Ebosia is developing and distributing two (2) different cards, which can be acquired from our website. Both of them can be used for your daily.",XEBS,4th May 2019,23rd Jun 2019,https://ebosia.com,Switzerland,https://docs.google.com/document/d/1VWdhdy5cbMk38FNeF-NBXgrqC693gszF9mflKEsFEtc/edit
switzerland,,gastro advisor,,"GastroAdvisor's mission is to help restaurant owners and users to improve their online experience by introducing them to the FORK token and digital currencies. The sector is currently facing numerous problems, from the fake reviews spreading across the web to the lack of existing solutions specifically designed for restaurant owners and connoisseurs online. As of today, the main cryptocurrencies (such as Bitcoin and Ethereum) are exchanged and accepted on thousands of websites, but it is very difficult to use them for daily expenses and real-world activities. Thousands of companies will be able to take advantage of the "Reward" system by checking the page on our site, activating the online booking service and accepting payments via BTC, ETH, FORK.",FORK Token,8th Mar 2019,30th Jun 2019,https://www.gastroadvisor.com,Switzerland,https://www.gastroadvisor.com/whitepaper.pdf
switzerland,,rapidz,,"RapidzPay is a decentralized payment gateway designed to make payments simple, fast, and hassle-free. It represents the next generation of payment service with unrivalled security and efficiency: Manage your cryptocurrencies in one place securely; Send and Receive supported cryptocurrencies; Pay for your purchases without worrying about transaction fees.",RPZX,14th May 2019,13th Jun 2019,https://www.rapidz.io,Switzerland,https://www.rapidz.io/wp-content/themes/rapidz/WP-en.pdf
UK,,ammut network,,"The AMMUT Ecosystem is built, designed and equipped to solve tasks that require high computing power such as deep learning, mining, scientific calculations, CGI rendering, 3d rendering and it’s made of several components: AmCU (Ammut Computing Unit), a low-cost hardware platform, specialized in the execution of tasks that require high computing power and designed to specifically and significantly improve on all pre-existing models in terms of profitability and longevity and the Ammut network, made up of all the AmCU devices connected to the network. AmCU takes tasks from the network, based on the earning coefficient that was initially set by the user, sends the results to the Ammut Network, and then it receives the reward based on the earning coefficient and the time spent to solve the task.",XAMM,1st Mar 2019,1st Jun 2019,https://ammut.network,UK,https://ammut.network/files/ammut.pdf
UK,,files.fm library,,"Files.fm Library is a blockchain-based peer-to-peer library for useful free and paid content that will provide one single place to publish and preserve useful files of all types. Using this platform, anyone can publish files that they think have some value. These files will be stored on a hybrid-decentralized network to ensure fast download speed and uninterrupted access to files, even if there are no seeders online or the main servers go down. Users will be able to receive tokens for useful work - uploading, sorting, tagging files - and will be able to spend them on legally buying copyrighted files, increasing private storage space or exchanging them for other extra services.",FFM,1st Mar 2019,1st Jun 2019,https://files.fm/library,UK,https://files.fm/f/ys6986tn
UK,,grailum,,"Universal Blockchain Cross-Chain Platform and Crypto Currency Grailum is the new generation crypto currency just like Bitcoin. When we are coding Grailum, we think that community need to go back to right path on the Blockchain. The right vision of Satoshi Nakamoto. Not the altered one. And of course with some additional developments. The Grailum is just a way to let two entities confidently trade directly with one another, without the need to rely on any intermediaries. It uses public key cryptography and an innovative approach to bookkeeping to achieve the authorization, balance verification, prohibition on double spending, delivery of assets and record inalterability described above. It is the new future of money.",GMX,1st Dec 2018,30th Jun 2019,https://grailum.com,UK,https://grailumlab.com/grailum.pdf
UK,,istapay,,"IstaPay is a social network platform where users can share their photos and videos free. A user can register by facebook or vk, and other social media. IstaPay is completely based on bitcoin and can send BTC directly from and to your wallet. It works as a regular bitcoin wallet to keep your BTC. At the same time, IstaPay allowing a user to earn money by selling these photos and videos. IstaPay takes a percentage of commotions on every photo sell, and a user that buy token now can be stakeholders and make money with our app.",ISTP,1st Jan 2019,20th Jun 2019,http://www.istapay.net,UK,https://www.istapay.net/wp-content/uploads/2018/11/whitepaper.pdf
UK,,kaasy.ai,,"Today, thousands of computer systems are being used for mining cryptocurrencies, but neither the GPUs nor the other components of the rigs were built specifically for that purpose. Because of this, many of the resources available of those systems are left underutilized. Imagine an existing GPU-mining rig simultaneously mining cryptocurrencies and also doing other processing tasks like machine learning and offering co-processing power - while being rewarded for both activities – making the RIGs even more profitable. This machine learning will produce “machine skills” to be used in Artificial Intelligence processes. Who ever adds the code for the machine learning into the blockchain gains Skill Rewards when the new machine skills are used on a new dataset. This process runs on a Distributed Infrastructure As A Service architecture, splitting the workload between multiple mining rigs, while optimizing for shortest run time on minimal data traffic. This entire system is called Knowledge As A Service, and represents the backbone of KAASY, the decentralized AI assistant that you can employ to do tasks for you.",KAAS,1st Sep 2018,1st Jun 2019,https://kaasy.ai,UK,https://kaasy.ai/download-white-paper-v6/
UK,,lovelysuites,,"Lovelydays is an established European luxury holiday rental company, helping owners of luxury homes monetise their properties when they are vacant by renting them out. Lovelydays launched LovelySuites 18 months ago, an alternative and decentralised solution to 5-star hotels. The project was developed to meet the needs of today’s tech savvy global traveller, providing luxury, space and an entirely personalised experience for their trip, with maximum flexibility. LoveSuites is able to offer this superior alternative to five star hotels at a much lower cost, dramatically reducing the price of five star luxury. To expand this alternative hotel concept we are launching a security token that will be issued via the Polymath token issuing platform. Investors in LovelySuites will get a share of the profits, typically through an annual dividend-like payment. And we anticipate that we will be distributing up to 50% of LovelySuites profits to our security token holders.",LVDS,1st Nov 2018,30th Jun 2019,http://lovelysuites-tokensale.com,UK,https://drive.google.com/file/d/1wRji2BSdzIAiP-3kv1UME2_X3Q3N-6Dr/view?usp=sharing
UK,,tachain,,"Tachain provides comprehensive ad targeting system for advertisers while maintaining full security and effectiveness of a full scale transportation app. With our functionalities in play, we are in a position to steer toward our mission of providing a valid and secure blockchain based service full of fun and joy to our users.",TCHN,23rd Jul 2018,30th Jun 2019,https://tachain.io,UK,https://tachain.io/Whitepaper.pdf
