cat1,cat2,name,raised,desc,ticker,start,end,www,,
Smart Contract,,300cubits teu,1.45374,"Strong market penetration strategy: The TEU tokens are given for free to the industry which in return will create a new industry practice and hence demand for the TEU tokens. Management team with relevant industry background: Our founders have 50 years’ experience in shipping, currency and system development. Ready demand in the market: Industry is broke but in needs of tangible booking deposit. Our solution provides tangible deposit assets free of charge. Competitive offering relative to competing solutions: Competing solution is fiat-currency-based booking deposit, which is working capital intensive for the users. Easy system implementation: Our IT solution entails a crypto deposit dispatch front end, which is easy to develop and use. Ample usage potential: The same solution could be applied in multiple industry where booking is not securitized by any collaterals.",TEU,12th Apr 2018,12th May 2018,https://300cubits.tech,Hong Kong,
Banking,,aidus,3,"The AIDUS Global D-Fund Platform is a decentralized fund market established upon the ETHEREUM network to serve as a professional asset management platform in which global investors and asset management companies are able to use Blockchain technologies and SMART Contracts to safely and transparently create and settle into P2P (Peer-to-Peer) fund agreements. Various information regarding the settled fund agreements shall be registered in the Blockchain network and shall continuously be updated through the Oracles* Agent. This project, officially named as the ‘AIDUS Global D-Fund Platform (ADFP)’, is decentralized platform business by establishing a ‘decentralized fund market platform’ in which the AIDUS Coin will serve as the main currency that would be used for the signing and redemption of various fund portfolios. The platform will connect global investors (the demand group for the asset management) with professional asset management companies, while it would supply the ‘Quant Trading System(QTS)’ to the asset management companies in order for them to create various high-profit fund items, all aiming at truly revolutionizing and establishing a new ecosystem of global asset management market. This ‘ADFP Business’ is the first ever unique project in the entire world that can only be pushed forward by the unique members here in the AIDUS Project Team.",AID Token,1st Oct 2018,12th Jan 2019,https://aidus.io,Hong Kong,
Cryptocurrency,,airswap,36,"We present a peer-to-peer methodology for trading ERC20 tokens on the Ethereum blockchain. First, we outline the limitations of blockchain order books and offer a strong alternative in peer-to-peer token trading: off-chain negotiation and on-chain settlement. We then describe a protocol through which parties are able to signal to others their intent to trade tokens. Once connected, counterparties freely communicate prices and transmit orders among themselves. During this process, parties may request prices from an independent third party oracle to verify accuracy. Finally, we present an Ethereum smart contract to fill orders on the Ethereum blockchain.",AST,10th Oct 2017,11th Oct 2017,https://www.airswap.io,Hong Kong,
Platform,,matrix,54,"The invention of Bitcoin in 2008 symbolized the advent of cryptocurrency. The succeeding years witnessed a dramatic growing of the blockchain technology. The introduction of Ethereum opened the path for supporting complex business behaviors with cryptocurrencies. The overall momentum of development, however, is now facing a series of key challenges. These include: (1) slow transaction speed; (2) programming barrier of smart contracts; (3) lack of security in smart contracts; and (4) inflexibilities in managing and updating blockchains. Designed to be the new generation blockchain, MATRIX leverages the latest artificial intelligence technology to resolve the abovementioned challenges. The fusion of blockchain and AI technologies enables MATRIX to build a revolutionary cryptocurrency, which support significantly boosted transaction speed, superior accessibility to general users, enhanced security under malicious attacks, and highly flexible operations.",null,16th Jan 2018,15th Feb 2018,https://www.matrix.io,Hong Kong,
Cryptocurrency,,uservice,23.829663,Uservice Blockchain Technology is an Ethereum blockchain platform where smart contract system will be used not only for processing requests for the auto service and maintenance but also for storing the history of every car on a single blockchain for further optimization by industry players.,UST,18th Dec 2017,1st Feb 2018,https://usrv.io,Hong Kong,
Platform,,bfex,,"BFEX is a futuristic platform intending to become a bank for the un-bankable, giving back the power to the people whom it belongs to. What distinguishes our platform is that we have developed the 'Decentralized Social Trust Credit Scoring'. We believe in a world where people have equal access to financial resources, with the helping hands of the privileged groups. This is why BFEX was established. We create a platform which serves as a bridge between the privileged and the opposite side of the society. We're also making sure that our token utility will be sustainable, as we focus sustainable growth over profit, by launching the BPAY application. BPAY application provides a payment solution, allowing users to pay for goods and services from BFEX business partners across the globe.",BFEX,1st Jan 2019,28th Feb 2019,https://bfex.io,Hong Kong,
Investment,,bftoken,33,The global online investment platform that brings financial innovation & technology investment opportunities to investors - Invest in the future of finance.,BFT Token,6th Feb 2018,16th Jan 2018,https://bnktothefuture.com/bf-token,Hong Kong,
Health,,vinnd.io,,Vinnd is building the world’s first decentralized digital healthcare platform to run express blood tests to evaluate your health featuring machine learning opportunities and blockchain technologies. Vinnd is designed to form individually - crafted diets based on your blood test results. A drop of blood may reveal what kind of products would positively affect your metabolism.,VIN,18th Jan 2018,18th Feb 2018,https://vinnd.io,Hong Kong,
Business services,,agrolot,,"Agrolot Project is the decentralized platform on the B2B market for trading agricultural crops, food products, and is running as a crowdfunding project built on Blockchain technology with the idea of Smart Contracts.",AGLT,1st Jul 2018,28th Sep 2018,http://agrolot.io,Hong Kong,
Platform,,cooocoin,,"Cooonet is a fully integrated high-performance digital solution for online learning. Originally a Hong Kong-based edutech start-up, the Cooonet team has embraced blockchain technology to uniquely empower its product design and business model.",COOO,1st May 2018,1st Sep 2018,https://www.cooocoin.com,Hong Kong,
