cat1,cat2,name,raised,desc,ticker,start,end,www,,,,,,,,,,
Cryptocurrency,,bitrus,,"BITRUS is an exchange platform that provides users with a friendly interface for trading crypto-fiat and crypto-crypto in a centralized location. Bitrus, with its own coin focused on trading fees payments, offers the latest technology with the most advanced cybersecurity for all concerned. We have developed the integration of both models to offer its users complete service in one location. Our platform with Crypto/Fiat andCrypto/Crypto provides safety, the speed of use and lower exchange commissions, being these the basic pillars for investment. Our vision for the expansion of the C / F looks towards allowing millions of people to venture into this new economy in the most accessible way possible. Encouraging global communication throughout the platform, we can break away from existing paradigms to obtain the positive expected results in the crypto market.",BTRS,29th May 2019,14th Oct 2019,https://bitrus.com,Malta,https://bitrus.com/WhitePaperBitrusExchange_EN.pdf
Cryptocurrency,,bx.bet,,"BX has the vision to create a whole new betting experience, where any user can take over the role of the bookmaker, create their own markets, place and offer bets with self-determined odds, and even participate in the outcome determination of a market. All by using the BX Token, which is conceived to become the global standard for all betting transactions.",BX,19th Nov 2018,17th Dec 2018,https://bx.bet/en,Malta,https://bx.bet/static/files/whitepaper.pdf,,,,,,,,
Cryptocurrency,,coindeal,,"CoinDeal is a cryptocurrency exchange platform founded by three Poles: Kajetan Maćkowiak, Adam Bicz, and Filip Dzierżak. The exchange was launched in March 2018 but has already gained spectacular popularity in the global market. Our daily volume gives us a place among the best cryptocurrency exchanges in the world according to the CoinMarketCap ranking.",CLD token,25th Jun 2019,12th Nov 2019,https://bit.ly/2lAsZz2,Malta,https://token.coindeal.com/white-paper
Cryptocurrency,,cronuscoin,,"Bitcronus is a Bitcoin exchange based in Malta. It allows trading between EUR currency and bitcoin cryptocurrency. It allows EUR, Bitcoin, Ethereum, Ripple, Litecoin, Bitcoin cash, Cardona, Neo, Stellar, Iota, Eos, Dash, Monero, Ethereum Classic, Tron, Cronuscoin deposits and withdrawals. Bitcronus issued its own token called the Cronuscoin, with CRO as the symbol. CRO runs natively on the Ethereum blockchain and follows the ERC20 token standard.You can use CRO to pay for any fees on our platform, including but not limited to: Exchange fees, Listing fees, and any other fee.",CRO,3rd Aug 2018,28th Nov 2018,https://www.cronuscoins.com,Malta,https://cronuscoins.com/frontend/whitepaper.pdf,,,,,,,,
Cryptocurrency,,cryptorevolution,,"Thank to a synergy between a Training Company, a Trading Company and a Technical Advanced Company working in MasterNodes and VPS Services we are able to offer you any kind of service that allows you to know, understand and exploit the cryptocurrency revolution to your advantage. A full training project on the cryptocurrency world is at your disposal and an ecosystem of services connected to it through the use of CREV"" (our utility token) that makes them accessible to everyone and easy to use. Once you have entered into our Ecosystem you can manage everything. General platform is your first step to deposit cryptos and to buy CREV Tokens. After that you can use CREV to buy services for Training", Trading, Mining," Staking and MasterNodes.""",CREV,25th Jul 2018,30th Jan 2019,https://www.cryptorevolutiontime.io,Malta,https://www.cryptorevolutiontime.io/Themes/crev/assets/images/WhitePaper-CREV.pdf,,,,,
Cryptocurrency,,elrond network,1.9,"Elrond is a novel architecture which goes beyond state-of-the-art by introducing a genuine State Sharding scheme for practical scalability, eliminating energy and computational waste while ensuring distributed fairness through a Secure Proof of Stake (SPoS) consensus mechanism. Having a strong focus on security, Elrond’s network is built to ensure resistance to known security problems like Sybil attack, Rogue-key attack, Nothing at Stake attack and others. In an ecosystem that strives for interconnectivity, Elrond’s solution for smart contracts offers an EVM compliant engine to ensure interoperability by design.",ERD,22nd Jun 2019,1st Jul 2019,https://elrond.com,Malta,https://elrond.com/files/Elrond_Whitepaper_EN.pdf
Cryptocurrency,,global crypto alliance,,"The Global Crypto Alliance (GCA - https://gcalliance.io/) constitutes a new kind of borderless organization with experienced professionals who are well-versed in the world of blockchain. Specialized in decentralized business development and blockchain ecosystems, our global network calls an active community of content creators and content consumers into action. GCA’s first product is Global Crypto News (GCNews.io), a totally new, unparalleled, and revolutionary content publication platform with a unique rewarding twist that is fueled by the crypto asset, CALL, and structured as an open network of active news aggregators who can monetize their actions within the system.",CALL,20th Nov 2019,28th Nov 2019,https://gcalliance.io,Malta,https://gcalliance.io/wp-content/uploads/GCA_Greenpaper_V1.05-291019.pdf
Cryptocurrency,,robet,,"RoBET is going to be the worldwide first platform natively based on the Ethereum blockchain thought to create an innovative 'betting exchange', which enhances the use of smart contracts and blockchain in order to create a cryptocurrency based sports betting ecosystem. The transparency and security of the wallet are granted thanks to the use of blockchain. Become a RAC token holder and create your wallet. The idea behind is to enable players to use both RAC tokens or others digital currencies for their bets. RoBET is also a digital multi-cryptos wallet able to guarantee the management of the entire betting process using digital currencies. As a unique and innovative feature, RoBET also offers the possibility to exchange, passing through one or more sports bets, one cryptocurrency into another at a very low transaction fee. Our competitive edge: Thanks to the use of artificial intelligence we’ll help customers to handle risk management, odd evaluation and odd comparison.",RAC,20th Apr 2018,30th Jun 2018,http://www.robet.io,,,,,,,,,,
Cryptocurrency,,snapparazzi,10,"You share your footage with us. We share the profits with you! Snapparazzi is for : - Smartphone's owners (to be a Reporter) - Video Content Creators - Viewers Everyone, everywhere can earn SnapCoin - Breaking news reporters, Moderators, Viewers and Content Creators. Snapparazzi is decentralised independent media sharing & advertising platform, utilising blockchain technology and offering everyone SnapCoin rewards. Snapparazzi permanently solves the problem of incomplete media coverage. With over 2.3 billion smartphones in the world in 2017, every user can potentially become a unique and unrivalled source of exclusive footage or photos of newsworthy events. Anyone with a smartphone and the Snapparazzi App can record it and earn money by selling it for broadcast to a willing buyer - be it a local/global news station.",SNPC,15th Oct 2018,29th Nov 2018,http://snapparazzi.io,Malta,http://snapparazzi.io/doc/whitepaper.pdf,,,,,,,,
Cryptocurrency,,vegawallet,6.294962,"We cover your journey into cryptocurrency every step of the way. We’ll make it easy to buy and trade, give you a safe place to store it then help you spend it the way you want. VegaWallet's advanced exchange and digital asset wallet launch with our ICO and several fiat trading pairs/ credit card options. Our Multi-Currency Wallet also provides the most secure cold and hot storage options with integration for P2SH Multi-Sig and HDBP32 technology. After our ICO, We introduce a complete point of sale system and payment processor for in person or online business use. Customers of stores running our platform will not only be able to spend their cryptocurrency but also buy more in person upon check out. (Like a Gift Card!) The wallet will also be updated to include VegaPay, our mobile payment application. Allowing you to pay with crypto ANYWHERE (even at places that do not yet accept crypto) by instantly converting your cryptocurrency to fiat money on our exchange and using NFC tech.",VGW,17th Sep 2018,6th Dec 2018,https://vegawallet.com,Malta,http://vegawallet.com/uploads/VegaWalletWhitePaper.pdf,,,,,,,,
