cat1,cat2,name,raised,desc,ticker,start,end,www
russia,,cryptolink network,,"The Crypto LINK Network provides smart contracts with data, bank payments and access to APIs. We're Solving the Connectivity Problem, a Key Limiting Factor for Smart Contract Usability. As developers begin to implement their chosen smart contract, they encounter the connectivity problem; their smart contract is unable to connect with key external resources like off-chain data and APIs. This lack of external connectivity is due to the method by which consensus is reached around a blockchain's transaction data, and will, therefore, be a problem for every smart contract network.",CLN Token,6th Aug 2018,16th Oct 2018,https://cryptolink.services,Russia,https://drive.google.com/open?id=10K0Gz0IQRwA7_x9k0aruVWIFwmwxrvEC
russia,,lendsbay,,"The LendsBay system creates a new approach to loans between people, solving the problems such as: No formal loan records: disputes arise about repayment dates, terms and conditions; no reminders are sent; No contract: there is no mechanism for judicial enforcement of debt repayment; No market-based mechanism for determining interest rates: the market is either larger or smaller than its potential; No tools for risk management: no credit rating, diversification, insurance. ⠀ ⠀ We offer the following step-by-step solution to the above-mentioned problems: Creating an app to manage loans between relatives, friends and acquaintances: the app is used to find a lender and then to record, document and administer (e.g. send out reminders) the loan; Creating social groups (so-called bays) to pool financial resources through mutual lending, e.g. there are social groups centred around work, universities and social clubs that already have a certain level of trust, common values and a high degree of social control, not to mention little tolerance for irresponsible behaviour; Creating a blockchain to store individuals' credit-rating information (LBR); Using the blockchain for any financial transactions between individuals (non-credit assessment) (LBU); Developing the elements of an ecosystem for financial relations: mutual insurance; purchasing, selling or leasing items; and decision-making systems. ⠀ LendsBay team have already developed a functional and ready-to-use alpha version of the application.",LBT,18th Sep 2018,29th Oct 2018,https://lendsbay.io,Russia,https://lendsbay.io/static/documents/whitepaper_eng.pdf
russia,,topex,,"Brand new cryptocurrency exchange with daily profit distribution between TPX token holders and compensation of losses during trading. Economic model developed by our experts and calculated to the last detail, will be able to return you almost all your losses, up to 100%. Topex.io creates the necessary conditions for transparency, convenience and simplicity with minimal risks for traders. With the Topex.io risks associated with trading are decreasing, allowing traders to save finances in case of errors.",TPX,19th Sep 2018,17th Oct 2018,https://topex.io,Russia,https://topex.io/docs/wp/topex.pdf
singapore,,astoria,,"With our services You can create a site with the user's personal cabinet in a few simple steps. The whole procedure takes no more than 30 minutes, and the functionality of the original product will not concede more expensive solutions. Using the tools of Astoria to build their team ICO, save money, human resources and time that you can use to refine your ideas. What is Astoria? Everything you need for ICO management in one place. Using our tools and services you will be able to create a unique, beautiful and dynamic website for the holding of the ICO and easily manipulate its contents later without programming skills. You will have the ability to track and analyze user activity on your site and interact with them. Astoria will do the most of the work for you, in turn, you pay more time for the final product.",APC Token,14th Sep 2018,14th Oct 2018,https://www.astoria.ltd,Singapore,https://www.astoria.ltd/data/documents/Astoria_White_Paper_(en)_v1.0.1.pdf
singapore,,bayan token,,"Bayan Token is a shariah-compliant ERC20 token built on the Ethereum Platform. A token represents the ownership of 16 hours of access benefits of Private Cloud Server. Each Server has 2 Ghz of computing power, 1GB of memory, 5 GB of SSD disk and 10GB bandwidth per month of data transfer. Beyond its utility factor, the Token is also backed by real-life, profitable projects that will not only support the whole ecosystem but also deliver impact for society as a whole, essentially bringing goodness to BYT holders and communities in ways beyond pure financial returns. And more importantly, these projects already exist and are not merely fictional, lofty ideas or at ideation stages.",BYT,27th Jun 2018,27th Oct 2018,https://bayantoken.com,Singapore,https://bayantoken.com/whitepaper
singapore,,blocvehicle,,"BlocVehicle is expected to bring great change to the economic ecosystem of the automotive service industry. BlocVehicle enables users to store and share data for their vehicles in a blockchain-based public ledger and create a trading service platform for the used car market, offering an equitable P2P trade system. Moreover, BlocVehicle will embody the model of a sharing economy in the automotive industry, allowing anyone to lease a car to people and earn money. Furthermore, BlocVehicle will cooperate with automotive service providers. The data will be integrated and stored in a blockchain-distributed ledger. Users will have full ownership of their data. Additionally, off-blockchain storage will be set up for various purposes, presenting opportunities to users. BlocVehicle will form an economic ecosystem in the network, and contributors will receive VCL tokens commensurate with their contributions. The tokens are a medium of reward to pay for services provided within the BlocVehicle's ecosystem.",VCL,20th Sep 2018,31st Oct 2018,http://ico.blocvehicle.com,Singapore,https://ico.blocvehicle.com/pdf/%5BBlocVehicle%5D_Whitepaper_EN.pdf
singapore,,blue one,,"The Blue One Coin is the first coin to incorporate advertising mining concepts. The concept is getting coins over time by watching advertisements which makes one difficult mining such as Bitcoin mining easier for the public. The Blue One Coin is the first fully decentralized advertising mining coin managed by the Ethereum Smart contract. For a step forward in the advertising market, it enables the advertising platform to be completely transparent and enables everyone to participate in the mining process. Handsets with an advertisement platform will be open and available to anyone. Unlike existing types, it is a key terminal applying block chain technology. Starting from the Ethereum Block Chain, we will lead the activation of the advertising market without the involvement of third parties. We first introduce you to the Blue One Coin, the token called BLU. The BLU token holder is granted the first advertisement platform access and entitled to activities.",BLU,1st Sep 2018,31st Oct 2018,http://blueone.io,Singapore,http://blueone.io/wp-content/uploads/2018/07/BLU-ENG_Final_v1.1.pdf
singapore,,boomstarter.network,3.480368,"The first global fundraising platform based on crypto, blockchain and smart contracts. Eliminating geographical restrictions. Bringing transaction speed and mining tools to earn and support fundraising goals.",BC,6th Aug 2018,31st Oct 2018,https://boomstarter.network,Singapore,https://boomstarter.network/system/documents/bc_wp_en_1-04.20180827132718103898462.pdf
singapore,,carbon grid protocol,6.0,"Carbon Grid Protocol aims to decarbonize blockchains. Carbon Grid Protocol creates an economic framework to reward blockchain networks and DApps for offsetting their carbon footprint.",CGRID,31st Aug 2018,2nd Oct 2018,http://carbongrid.io,Singapore,http://carbongrid.io/cgrid_wp_draft.pdf
singapore,,carios,,"CariOS is a blockchain project to create and operate the CariOS market, a market where car data can be shared and exchanged. With the rapid development of connected cars, electric vehicles (EVs), autonomous cars, and smart cars, there is a need for a decentralized, open marketplace for transactions in the automobile industry. CariOS Market will support the exchange of data between all stakeholders. Participants in the CariOS Market are all stakeholders within the automobile industry be it car users, automobile manufacturers, or automotive service providers. They participate in CariOS Market simultaneously as data producers and consumers in a cycle of value sharing and creation. A technology-enabled economic system, CariOS Market is built on the CariOS Blockchain and supports the fair valuation of data and distribution of rewards. Accounting for adjustments in supply and demand, payouts and purchases are made with CariOS Coin. Car data is no longer limited to narrow use by a select few, but with express consent of data owners becomes a shared asset that benefits other participants in the CariOS Market. When service providers or manufacturers want to access car user data, proper authorization is brokered with data owners, and even then all information and sensitive data is protected using cryptography. Ultimately, CariOS Market aims to create an environment where car data and information are no longer used and held by a few select companies, but are used and shared through legitimate and secure processes and transactions. As a result, car data will become a public asset and return more valuable and optimized services enjoyed by those involved.",CAS Token,30th Sep 2018,31st Oct 2018,https://carios.org,Singapore,http://www.carios.org/whitepaper/1535317289CariOS-Whitepaper-V1.1.pdf
