cat1,cat2,name,raised,desc,ticker,start,end,www
UK,,ctr,,"The main objective of CTR project is the formation of solutions for cheaper and alternative opportunities in telecommunications systems. The main idea of the project is to provide cheap and affordable opportunities for all people on our planet, especially in developing countries and hard-to-reach places of residence or access to high-speed Internet, mobile communications, and blockchain technology.",XCTR,1st Mar 2019,31st May 2019,https://ctr.group,UK,https://ctr.group/files/ctr_whitepaper.pdf
UK,,lancor scientific,20.0,"Lancor Blockchain Platform (LBP) is a blockchain based ecosystem designed with the vision to make cancer screening available for everyone everywhere at a cost all can afford. Our world class team has come together to execute this grand but achievable goal. We are bringing a patented technology, based on Opto-magnetic Imaging Spectroscopy (OMIS), to market. This uses light to detect cancer at the molecular level and can identify pre-cancer in less than 30 seconds. Using our sister company Tumour Trace's CE marked multi cancer detection devices, combined with the Lancor Cancer Screening Platform, we can quickly make cancer screening available for everyone everywhere for around $10 per test. The Medici Token will power and validate each of the cancer screening tests. The price of the cancer tests will be fixed, and demand for Medici Tokens will increase dramatically as the Lancor CSP is launched later this year and testing begins. We are currently building the alpha version of the platform now with our technical and integration partner Parker Fitzgerald (http://parker-fitzgerald.com/) here in London.",MEDICI,13th Mar 2019,12th May 2019,https://www.lancorscientific.io,UK,https://api.lancorscientific.io/static/uploads/whitepaper/whitepaper-1538650791713.pdf
UK,,n.exchange,,"n.exchange is a multi-component ecosystem designed to accommodate a wide variety of the cryptocurrency community’s needs. While a solution for those needs exists individually across many platforms, they are not always implemented to perfection, and are often unreliable, non-transparent or hard to use. By aggregating those components into one platform, we enhance user experience and eliminate redundancy, fees, and funds transition time. The 5 main components of the system are the Exchanges: HybriDEX multi-chain dex and n.ex- change INSTANT, MultiPick multi-mining pool, EasyMerchant solution, and a line of complementary services including high-quality content, various utilities leveraging our open API, coin capitalization and portfolio trackers and liquidity-sourcing services. Our goal is to maximize every one of the components individually, by providing an outstanding service with a sharp edge, for low fees. Thus becoming the industry’s first regulated, transparent, high-liquidity A-Book broker. As such, our main business model is sourcing liquidity to traditional financial institutions and blue-chip companies.",NEX Token,1st May 2019,29th May 2019,https://n.exchange/ico,UK,https://n.exchange/n_exchange_whitepaper.pdf
UK,,nuvo,,"Nuvo is a blockchain network on which decentralized, regionally-focused social media communities can be built. It is defined by two core features of (i) an unbiased, uncensorable news feed, and (ii) automatic payment in Nuvo tokens for participation on social networks; with participation including posting content, sharing content, and voting or commenting on content. Through a chain-based voting process, communities built on Nuvo automatically filter out low-quality content, fake news, and postings that are irrelevant or in poor taste. With a model that pays users for engagement, community members are incentivized to post and share high-quality, high-integrity content, as well as to vote/comment corresponding to what they feel about postings that they see, so that what shows up in a user’s news feed reflects the opinions of the community’s actual members; uninfluenced by any advertising algorithm or political agenda.",NUVO,19th Apr 2019,19th May 2019,https://jamaa.com,UK,https://jamaa.com/docs/whitepaper
UK,,rowan coin,0.110894,"Rowan Coin is designed as an incentive for sustainable living. Blockchain-driven, we intend to reward people from different parts of the world, who engage in sustainable practices. We have recognised that people are more active and willing to engage in an activity if there is a reward involved. Also, we have recognise the huge potential the blockchain technology has for the people and the whole planet. This is why Rowan Coin has been created.",RWN,10th Mar 2019,10th May 2019,https://www.rowanproject.org,UK,https://www.rowanproject.org/Rowan-coin-whitepaper.pdf
UK,,sharkgate,,"Provides unrivaled hacker protection to a website plus runs a 24/7 malware scanner. Powered by the blockchain using the collective intelligence of the SharkGate AI (“Deep Sea”) and the SharkGate Website Threat Defence Database (“WTDD”). Coordinates the memory of each attack encountered on any site worldwide and thus enables any site on the distributed network to mount a strong response if the attack is attempted again. Also creates ‘adaptive’ rules that evolve during the lifetime of the blockchain as an adaptation to a threat and prepares the protection for future similar, but yet unseen, attacks.",SHKG,1st Mar 2019,28th May 2019,https://www.sharkgate.io,UK,https://www.sharkgate.io/sharkgate_whitepaper.pdf
UK,,stattm project,,"Stattm is the idea of building a better decentralized cryptocurrency for instant, cheap & safe banking,and a everyday life marketplace for life's needs and requirements , a multi-purpose cryptocurrency, stattm will have an ios & android mobile handy light wallet app and a offline wallet for security to solve all the digital payments, trading, investing and marketing problems.",STTM,28th Mar 2019,11th May 2019,https://stattm.com,UK,https://stattm.com/whitepapers/
UK,,tele,,"TELE is an anonymous P2P network built on the innovations of Dash, PivX and more, encompassing various features found across multiple networks into one network. TELE is developing Trend-Setter to focus on Micro-Transactions in various sectors such as retail, marketing, social content and gaming. TELE is also creating a secure mobile phone that allows secure calling and messaging through the blockchain.",TELE,28th Apr 2019,28th May 2019,https://www.telecoin.info,UK,https://www.telecoin.info/wp-content/uploads/2018/11/Telecoin_Whitepaper.pdf
UK,,togacoin,0.30512,"We are a team of professionals that has been operating in the IT and data center sectors for over 20 years, active on the European territory with various proven and successful experiences in digital technologies and data centers. We have been interested in the world of cryptocurrencies since some time and we believe that it will soon play an interesting – if not vital – role for the development of similar realities.",TGA,4th Jun 2018,1st May 2019,https://togacoin.com,UK,https://togacoin.com/whitepaper.pdf
USA,,3dchain,,"3D-Chain is an open-source protocol based on collections of smart contracts which aims to become the key ecosystem for manufacturers, designers and customers. It provides a coordinated decentralized network based on 3D Printing technology and will expand to other manufacturing environments. Within this framework, the benefits of manufacturing and 3D Printing become a global common infrastructure for all. Anyone can access the network, become a stakeholder in its development, add a fabrication technology (e.g. 3D Printer) to 3D-Chain’s ecosystem, add a new design or customize existing one, and receive network payment tokens in exchange. Moreover, demand for personalized design is exponentially growing every year and soon dominate the manufacturing and the economy since personalized items are more appealing to customers than mass-produce items. However, manufacturing new items and personalized them are very expensive and time-consuming. 3D-Chain facilitates the mass customization.",3xD,1st Jan 2019,30th May 2019,http://www.3dchain.io,USA,https://www.3dchain.io/doc/3Dchain_whitepaper.pdf
USA,,astra,,"Astra is building a network of communities and computers (Astra Network) for discovery of scientific and social truths. The economic incentive system in this network will be run using the Astra Network Utility Token called STAR (STARs for plural).",STAR,1st Apr 2019,31st May 2019,http://astranetix.com,USA,https://www.goastra.network/whitepaper/
